Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Quién es el desarrollador del sistema operativo macOS?";"";"";"Apple.";"IBM.";"Google.";"Microsoft.";"";"";"es-software-sistema-operativo-6"
"¿Quién es el desarrollador del sistema operativo iOS?";"";"";"Apple.";"IBM.";"Google.";"Microsoft.";"";"";"es-software-sistema-operativo-6"
"¿Quién es el desarrollador del sistema operativo z/OS?";"";"";"Apple.";"IBM";"Google.";"Microsoft.";"";"";"es-software-sistema-operativo-6"
"¿Para qué tipo de dispositivos está diseñado el sistema operativo macOS?";"";"";"Ordenadores personales de sobremesa y portátiles.";"Dispositivos móviles tales como smartphones y tabletas.";"Grandes ordenadores de empresa como los mainframes.";"Todo tipo de dispositivos, desde pequeños routers, servidores, hasta grandes superordenadores.";"";"";"es-software-sistema-operativo-6"
"¿Para qué tipo de dispositivos está diseñado el sistema operativo iOS?";"";"";"Dispositivos móviles tales como smartphones y tabletas.";"Ordenadores personales de sobremesa y portátiles.";"Grandes ordenadores de empresa como los mainframes.";"Todo tipo de dispositivos, desde pequeños routers, servidores, hasta grandes superordenadores.";"";"";"es-software-sistema-operativo-6"
"¿Para qué tipo de dispositivos está diseñado el sistema operativo z/OS?";"";"";"Grandes ordenadores de empresa como los mainframes.";"Ordenadores personales de sobremesa y portátiles.";"Dispositivos móviles tales como smartphones y tabletas.";"Todo tipo de dispositivos, desde pequeños routers, servidores, hasta grandes superordenadores.";"";"";"es-software-sistema-operativo-6"
"¿Cuál es la cuota de mercado de macOS para ordenadores personales en 2023?";"";"";"21%";"15%";"11%";"25%";"";"";"es-software-sistema-operativo-6"
"¿En qué antiguo sistema operativo está basado macOS?";"";"";"Unix.";"Windows.";"Android.";"z/OS.";"";"";"es-software-sistema-operativo-6"
"¿Cómo es la interfaz de usuario de macOS en comparación con la de Windows?";"";"";"Más minimalista y elegante.";"Más compleja y detallada.";"Menos eficiente y aburrida.";"Igual de minimalista y elegante.";"";"";"es-software-sistema-operativo-6"
"¿Dónde se encuentra siempre la barra de menú en macOS?";"";"";"En la parte superior de la pantalla.";"En la parte inferior de la pantalla.";"Dentro de cada ventana de aplicación.";"En el lado izquierdo de la pantalla.";"";"";"es-software-sistema-operativo-6"
"¿Cuál es una de las ventajas de macOS en cuanto a la resistencia a malware en comparación con Windows?";"";"";"Tiene un diseño que previene mejor los ataques.";"Tiene mayor cuota de mercado.";"Tiene más software disponible que Windows.";"Tiene soporte completo de gestos en el touchpad.";"";"";"es-software-sistema-operativo-6"
"¿Cómo se financia el desarrollo del sistema operativo macOS?";"";"";"Con el costo del hardware.";"Con publicidad.";"A través de suscripciones mensuales.";"Con donaciones voluntarias.";"";"";"es-software-sistema-operativo-6"
"¿Cuál es una de las características principales de macOS en cuanto a su soporte de hardware?";"";"";"Optimizado exclusivamente para dispositivos Apple.";"Compatible con dispositivos de cualquier fabricante.";"Mayor variedad de dispositivos compatibles.";"Menor estabilidad en comparación con otros sistemas operativos.";"";"";"es-software-sistema-operativo-6"
"¿Cómo se describen las versiones de macOS en cuanto a diferentes ediciones?";"";"";"No tienen diferentes ediciones.";"Tienen diferentes ediciones.";"Solo hay dos ediciones disponibles en cada versión.";"Las ediciones varían según el año de lanzamiento.";"";"";"es-software-sistema-operativo-6"
"¿Cuál es el sistema operativo de la empresa Apple para dispositivos móviles?";"";"";"iOS";"Android";"Windows";"MacOS";"";"";"es-software-sistema-operativo-6"
"¿Qué dispositivos utilizan el sistema operativo iOS?";"";"";"iPhone, iPad, iPod";"Samsung, Sony, LG";"MacBook, iMac, Mac Pro";"Pixel, Nexus, Moto";"";"";"es-software-sistema-operativo-6"
"¿Quién lidera las ventas de teléfonos inteligentes de gama alta?";"";"";"Apple";"Samsung";"Xiaomi";"Huawei";"";"";"es-software-sistema-operativo-6"
"¿Cómo se compara la interfaz de usuario de iOS con la de Android?";"";"";"Más uniforme y consistente.";"Más variada según el fabricante de dispositivos.";"Menos uniforme y consistente.";"Igual en ambos sistemas operativos.";"";"";"es-software-sistema-operativo-6"
"¿Por qué la App Store de Apple tiende a tener menos aplicaciones que otras tiendas de aplicaciones?";"";"";"Por que tiene mayor control de calidad y seguridad.";"Por que Apple tiene menor interés en tener variedad de aplicaciones.";"Por falta de desarrolladores.";"Para conseguir una mayor compatibilidad con dispositivos Android.";"";"";"es-software-sistema-operativo-6"
