Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué son las herramientas de taller?";"";"";"Instrumentos para realizar trabajos específicos.";"Juguetes para niños que divierten y son útiles a la vez.";"Objetos decorativos.";"Elementos de cocina.";"";"";"es-material-tools-1"
"¿Cuál es el propósito principal de las herramientas?";"";"";"Realizar tareas específicas y manipular materiales.";"Decorar el taller de Tecnología.";"Hacer ejercicio.";"Jugar al aire libre.";"";"";"es-material-tools-1"
"¿Por qué cada herramienta está especializada en una tarea concreta?";"";"";"Para garantizar la seguridad y la eficacia.";"Para hacer que las herramientas sean más caras.";"Para dificultar su uso.";"Porque no hay suficientes herramientas disponibles.";"";"";"es-material-tools-1"
"¿Cuál es un ejemplo de mala utilización de herramientas?";"";"";"Atornillar con unos alicates.";"Cortar con unas tijeras.";"Golpear con un martillo.";"Medir con una regla.";"";"";"es-material-tools-1"
"¿Cuál es un ejemplo de mala utilización de herramientas?";"";"";"Golpear con el mango de un destornillador.";"Cortar con una sierra.";"Unir con un tornillo y una llave inglesa.";"Perforar con un punzón";"";"";"es-material-tools-1"
"¿Por qué no se permite la mala utilización de herramientas en el taller de Tecnología?";"";"";"Porque es peligroso y puede dañar las herramientas.";"Para hacer que el taller sea aburrido.";"Porque las herramientas son caras.";"Porque no hay suficientes herramientas adecuadas.";"";"";"es-material-tools-1"
"¿Cuál de las siguientes acciones es segura en el taller de Tecnología?";"";"";"Utilizar una herramienta para su función prevista.";"Correr por el taller con una herramienta en la mano.";"Dejar las herramientas desatendidas.";"Usar herramientas de cualquier manera.";"";"";"es-material-tools-1"
"¿Qué puede ocurrir si se utiliza una herramienta de manera incorrecta en el taller de Tecnología?";"";"";"Puede dañar la herramienta o causar lesiones";"Nada, las herramientas son indestructibles";"Las herramientas se vuelven más efectivas";"Las herramientas se vuelven más seguras";"";"";"es-material-tools-1"
"¿Cuál es una diferencia clave entre herramientas y materiales?";"";"";"Las herramientas no forman parte del objeto fabricado, mientras que los materiales si.";"Las herramientas se almacenan en contenedores grandes, los materiales no.";"Las herramientas no son reutilizables, los materiales si.";"Las herramientas se utilizan solo en objetos grandes, los materiales en objetos pequeños.";"";"";"es-material-tools-1"
"¿Qué se entiende por una herramienta reutilizable?";"";"";"Una herramienta que se puede usar en la fabricación de varios productos.";"Una herramienta que nunca se desgasta.";"Una herramienta que solo se usa una vez.";"Una herramienta que es parte del objeto fabricado.";"";"";"es-material-tools-1"
"¿Cuál de los siguientes elementos se considera un material?";"";"";"Pintura.";"Destornillador.";"Lápiz.";"Martillo.";"";"";"es-material-tools-1"
"¿Por qué los clavos y la pintura NO son herramientas?";"";"";"Son materiales porque forman parte del objeto fabricado.";"Son materiales porque no se pueden almacenar en contenedores grandes.";"Son materiales porque son difíciles de utilizar.";"Son materiales porque son costosos.";"";"";"es-material-tools-1"
"¿Cuál de las siguientes opciones NO es una herramienta?";"";"";"Tornillo.";"Pistola de cola termofusible.";"Pincel.";"Martillo.";"";"";"es-material-tools-1"
"¿Cuál de los siguientes elementos no se menciona en la lista de ejemplos de materiales?";"";"";"Martillo.";"Tornillo.";"Pegamento.";"Cables.";"";"";"es-material-tools-1"
"¿Por qué es importante distinguir entre herramientas y materiales en el proceso de fabricación?";"";"";"Para comprender qué elementos formarán parte del objeto fabricado.";"Para ahorrar dinero en herramientas costosas.";"Para mantener un registro de las herramientas utilizadas.";"Para asegurarse de que las herramientas se almacenen en contenedores grandes.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con una regla graduada?";"";"";"Medición.";"Acabado.";"Marcado.";"Corte.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con una escuadra o un cartabón?";"";"";"Trazado.";"Acabado.";"Marcado.";"Corte.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con un compás?";"";"";"Medición y trazado.";"Acabado.";"Marcado.";"Corte.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con un nivel?";"";"";"Medición.";"Acabado.";"Unión.";"Corte.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con una cinta métrica?";"";"";"Medición.";"Acabado.";"Unión.";"Corte.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con un pie de rey?";"";"";"Medición.";"Acabado.";"Marcado.";"Corte.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con un polímetro?";"";"";"Medición eléctrica.";"Medición mecánica.";"Medición eléctrica y mecánica.";"Marcado.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con un lápiz?";"";"";"Marcado.";"Medición.";"Corte.";"Perforado.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con una punta de trazar?";"";"";"Marcado.";"Medición.";"Corte.";"Perforado.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con un granete?";"";"";"Marcado.";"Golpeo.";"Corte.";"Perforado.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con unos alicates?";"";"";"Sujeción.";"Unión.";"Perforado.";"Marcado.";"";"";"es-material-tools-1"
"¿Qué tipo de operación se puede realizar con un tornillo de banco?";"";"";"Sujeción.";"Unión.";"Perforado.";"Marcado.";"";"";"es-material-tools-1"
