Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué densidad tienen los plásticos?";"";"";"Parecida a la densidad del agua";"Mucho mayor que la densidad del agua";"Mucho menor que la densidad del agua";"Los plásticos no tienen densidad";"";"";"es-material-plastics"
"¿Los plásticos flotan?";"";"";"Algunos plásticos flotan y otros se hunden";"Los plásticos siempre flotan en el agua";"Los plásticos siempre se hunden en el agua";"Los plásticos no se deben mojar con agua";"";"";"es-material-plastics"
"¿Qué conductividad tienen los plásticos?";"";"";"Son buenos aislantes térmicos y eléctricos";"Conducen bien la electricidad pero mal el calor";"Conducen bien el calor pero mal la electricidad";"Conducen bien el calor y la electricidad";"";"";"es-material-plastics"
"¿Son renovables los plásticos?";"";"";"No son renovables porque provienen del petróleo";"Si son renovables";"Si porque se pueden reciclar con facilidad muchas veces";"Solo es renovable el poliéster";"";"";"es-material-plastics"
"¿Son tenaces los plásticos?";"";"";"La mayoría si, porque soportan bien los golpes sin romperse";"La mayoría si, porque soportan bien que les intentes rayar";"Si, porque tienen buena resistencia mecánica";"No, son blandos";"";"";"es-material-plastics"
"La mayoría de los plásticos son...";"";"";"Muy dúctiles y muy maleables, por lo que es fácil fabricar hilos y láminas con ellos";"Muy dúctiles, pero poco maleables";"Muy maleables, pero poco dúctiles";"Poco maleables y poco dúctiles, por lo que no es fácil fabricar hilos y láminas con ellos";"";"";"es-material-plastics"
"El punto de fusión de los plásticos es...";"";"";"Bajo, por lo que no se pueden utilizar para resistir altas temperaturas";"Alto, por lo que pueden resistir altas temperaturas";"Bajo, porque se funden a temperaturas mayores de 70ºC";"Alto, porque que se funden por encima de 700ºC";"";"";"es-material-plastics"
"La resistencia de los plásticos a la corrosión...";"";"";"Es muy buena. Soportan sin problemas la oxidación y los ácidos";"Es mala, se descomponen con facilidad";"Tienen buena resistencia a la oxidación, pero mala resistencia a los ácidos";"Tienen buena resistencia a los ácidos, pero mala a la oxidación";"";"";"es-material-plastics"
"¿Existen plásticos naturales o todos son sintéticos?";"";"";"Si hay plásticos naturales, por ejemplo el látex o el celuloide";"Si hay plásticos naturales, como la lana o el papel";"No, todos los plásticos son sintéticos";"";"";"";"es-material-plastics"
"¿Qué son los plásticos termoplásticos?";"";"";"Plásticos que se funden con el calor todas las veces que se desee";"Plásticos que no se funden con el calor";"Plásticos que se vuelven elásticos con el calor";"Plásticos elásticos, como el caucho";"";"";"es-material-plastics"
"¿Qué son los plásticos termoestables?";"";"";"Plásticos que no se funden con el calor";"Plásticos que se funden con el calor todas las veces que se desee";"Plásticos que se vuelven elásticos con el calor";"Plásticos elásticos, como el caucho";"";"";"es-material-plastics"
"¿Qué son los plásticos elastómeros?";"";"";"Plásticos elásticos, como el caucho";"Plásticos que no se funden con el calor";"Plásticos que se funden con el calor todas las veces que se desee";"Plásticos que se vuelven elásticos con el calor";"";"";"es-material-plastics"
"¿Qué son los polímeros?";"";"";"Moléculas de gran tamaño compuestas de la unión de monómeros";"Plásticos formados por la mezcla de muchos componentes";"Moléculas sintéticas que provienen del petróleo";"";"";"";"es-material-plastics"
"El policloruro de vinilo o PVC es ...";"";"";"Un termoplástico que sirve para fabricar tubos, cables eléctricos, ventanas";"Un termoplástico que sirve para fabricar carpetas, portafolios, cuerdas";"Un termoestable que sirve para fabricar accesorios eléctricos";"Un termoestable que sirve para fabricar piscinas o contenedores de vidrio";"";"";"es-material-plastics"
"El polipropileno (PP) es ...";"";"";"Un termoplástico que sirve para fabricar carpetas, portafolios, cuerdas";"Un termoplástico que sirve para fabricar envases de yogur, aislantes térmicos";"Un termoestable que sirve para fabricar mangos para sartenes";"Un termoestable que sirve para fabricar accesorios eléctricos";"";"";"es-material-plastics"
"El poliestireno (PS) es ...";"";"";"Un termoplástico que sirve para fabricar envases de yogur, aislantes térmicos";"Un termoplástico que sirve para fabricar carpetas, portafolios, cuerdas";"Un termoestable que sirve para fabricar accesorios eléctricos";"Un termoestable que sirve para fabricar piscinas o contenedores de vidrio";"";"";"es-material-plastics"
"El polietileno tereftalato o PET es ...";"";"";"Un termoplástico que sirve para fabricar envases de bebidas";"Un termoplástico que sirve para fabricar cubos, bolsas, vasos, platos";"Un termoestable que sirve para fabricar piscinas o contenedores de vidrio";"Un termoestable que sirve para fabricar mangos para sartenes";"";"";"es-material-plastics"
"El polietileno es ...";"";"";"Un termoplástico que sirve para fabricar cubos, bolsas, vasos, platos";"Un termoplástico que sirve para fabricar envases de bebidas";"Un termoestable que sirve para fabricar mangos para sartenes";"Un termoestable que sirve para fabricar accesorios eléctricos";"";"";"es-material-plastics"
"El fenol formaldehído (PF) es ...";"";"";"Un termoestable que sirve para fabricar mangos para sartenes";"Un termoestable que sirve para fabricar accesorios eléctricos";"Un termoplástico que sirve para fabricar cubos, bolsas, vasos, platos";"Un termoplástico que sirve para fabricar envases de bebidas";"";"";"es-material-plastics"
"Las resinas de poliéster (UP) es ...";"";"";"Un termoestable que sirve para fabricar piscinas o contenedores de vidrio";"Un termoestable que sirve para fabricar mangos para sartenes";"Un termoplástico que sirve para fabricar envases de bebidas";"Un termoplástico que sirve para fabricar cubos, bolsas, vasos, platos";"";"";"es-material-plastics"
"La urea formaldehído (UF) es ...";"";"";"Un termoestable que sirve para fabricar accesorios eléctricos";"Un termoestable que sirve para fabricar piscinas o contenedores de vidrio";"Un termoplástico que sirve para fabricar envases de yogur, aislantes térmicos";"Un termoplástico que sirve para fabricar carpetas, portafolios, cuerdas";"";"";"es-material-plastics"
