Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué potencia tendrá un ordenador que consume 1.5 Amperios a 230 Voltios?";"";"";"345W";"153W";"230W";"1.5W";"0.0065W";"";"es_electric_power"
"¿Qué potencia tendrá una bombilla que consume 0.1 Amperios a 230 Voltios?";"";"";"23W";"2300W";"230W";"0.4347W";"";"";"es_electric_power"
"¿Qué potencia tendrá una vitrocerámica que consume 15 Amperios a 230 Voltios?";"";"";"3450W";"15.3W";"15W";"230W";"0,065W";"";"es_electric_power"
"¿Qué potencia tendrá un taladro que consume 5 Amperios a 120 Voltios?";"";"";"600W";"120W";"5W";"24W";"0,0416W";"";"es_electric_power"
"¿Qué potencia tendrá un teléfono móvil que consume 0.5 Amperios a 5 Voltios?";"";"";"2.5W";"5W";"0.5W";"10W";"0,1W";"";"es_electric_power"
"¿Qué potencia máxima tendrá una casa con limitación de 25 Amperios si la tensión de red es de 230V?";"";"";"5750W";"9.2W";"25W";"230W";"0.108W";"";"es_electric_power"
"¿Qué potencia máxima tendrá una casa con limitación de 15 Amperios si la tensión de red es de 230V?";"";"";"3450W";"15.3W";"15W";"230W";"0.065W";"";"es_electric_power"
"¿Qué potencia máxima tendrá una bombilla de 12V si consume 2A?";"";"";"24W";"12W";"2W";"0.166W";"6W";"";"es_electric_power"
"¿Qué corriente consumirá un calentador de aire de 2000W si lo conectamos a la tensión de red de 230 Voltios?";"";"";"8.69A";"460000A";"0.115A";"230A";"2000A";"";"es_electric_power"
"¿Qué corriente consumirá un router si tiene una potencia de 23W y lo conectamos a la tensión de red de 230 Voltios?";"";"";"0.1A";"230A";"23A";"5290A";"10A";"";"es_electric_power"
"¿Qué corriente pasará por la bombilla de freno de un coche de 12V si tiene una potencia de 24W?";"";"";"2A";"12A";"24A";"288A";"0.5A";"";"es_electric_power"
"¿Qué corriente pasará por el motor de arranque de un coche si la batería es de 12V y tiene una potencia de 1200W?";"";"";"100A";"12A";"1200A";"14400A";"0.01A";"";"es_electric_power"
"¿Qué tensión tendrá una batidora sabiendo que tiene una potencia de 240W y que consume 2 Amperios?";"";"";"120V";"480V";"0.008V";"2V";"240V";"";"es_electric_power"
"¿Qué tensión tendrá un ordenador portatil sabiendo que tiene una potencia de 40W y que consume 2 Amperios?";"";"";"20V";"80V";"40V";"2V";"0.5V";"";"es_electric_power"
"¿Qué tensión tendrá una raqueta antimosquitos sabiendo que tiene una potencia de 2W y que genera 0.001 Amperios?";"";"";"2000V";"2V";"1000V";"0.002V";"0.5V";"";"es_electric_power"
"¿Qué tensión tendrá un USB rápido que tiene una potencia de 18W con una corriente de 2 Amperios?";"";"";"9V";"18V";"2V";"0.111V";"36V";"";"es_electric_power"
