Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"La ley de Moore fué formulada ...";"";"";"En 1965 por Gordon Moore";"En 1975 por Gordon Moore";"En 1965 por Holden Moore";"En 1975 por Holden Moore";"";"";"es-hardware-ley-moore-2"
"¿Qué expresa la ley de Moore?";"";"";"Que cada 2 años se duplica el número de transistores de un microprocesador.";"Que cada 2 años se reduce el número de transistores de un microprocesador.";"Que cada 2 años se mantiene el mismo número de transistores en un microprocesador.";"Que cada 2 años se incrementa el tamaño de un microprocesador.";"";"";"es-hardware-ley-moore-2"
"¿Qué se espera que suceda cuando la tecnología de transistores se tope con los efectos cuánticos?";"";"";"No se podrán seguir fabricando transistores más pequeños.";"Se conseguirá fabricar transistores todavía más pequeños.";"No tendrá ningún efecto en la fabricación de transistores.";"Permitirán fabricar transistores más grandes.";"";"";"es-hardware-ley-moore-2"
"¿Qué dispositivos están afectados por la ley de Moore?";"";"";"Dispositivos basados en transistores como la memoria RAM y la memoria Flash.";"Dispositivos mecánicos como los relojes.";"Dispositivos ópticos como los CD-ROM, DVD y Bluray.";"Dispositivos de comunicación como los teléfonos móviles.";"";"";"es-hardware-ley-moore-2"
"¿Qué ha sucedido con la potencia y capacidad de cálculo desde 1965 hasta la actualidad gracias a la ley de Moore?";"";"";"Han aumentado de forma exponencial.";"Han disminuido de forma exponencial.";"Han permanecido estables.";"Han aumentado de forma lineal.";"";"";"es-hardware-ley-moore-2"
"¿Cuál es la limitación que se espera que impida seguir fabricando transistores más pequeños?";"";"";"Los efectos cuánticos.";"Los efectos magnéticos.";"Los efectos térmicos.";"Los efectos mecánicos.";"";"";"es-hardware-ley-moore-2"
"¿Por qué los dispositivos de hardware informático sufren una fuerte caída de precios con el tiempo?";"";"";"Porque aparecen nuevos dispositivos más avanzados en el mercado.";"Porque los dispositivos se deterioran con el uso.";"Porque hay demasiados dispositivos en el mercado.";"Porque los fabricantes reducen los precios para atraer a más clientes.";"";"";"es-hardware-ley-moore-2"
"¿Qué pauta se recomienda seguir a la hora de comprar hardware?";"";"";"No comprar lo más barato del mercado.";"Comprar siempre lo más barato del mercado.";"Comprar solo dispositivos de tope de gama.";"Comprar dispositivos de gama media-alta.";"";"";"es-hardware-ley-moore-2"
"¿Por qué los dispositivos más nuevos del mercado suelen tener unos precios muy altos?";"";"";"Porque son productos de la mayor capacidad o rendimiento.";"Porque son productos de baja calidad.";"Porque son productos que no han sido probados en el mercado.";"Porque son productos que están en desuso.";"";"";"es-hardware-ley-moore-2"
"¿Por qué los dispositivos de gama alta suelen tener una pobre relación capacidad-precio?";"";"";"Porque su precio es demasiado alto en relación con su capacidad o rendimiento.";"Porque su capacidad o rendimiento es demasiado baja en relación con su precio.";"Porque su relación capacidad-precio es la misma que en los dispositivos de gama baja.";"Porque su relación capacidad-precio es demasiado alta.";"";"";"es-hardware-ley-moore-2"
"¿Qué puede ocurrir si se compra lo más barato del mercado?";"";"";"Que se tenga una baja relación capacidad-precio.";"Que se tenga una alta relación capacidad-precio.";"Que se tenga el dispositivo más avanzado del mercado.";"Que se tenga un dispositivo que durará muchos años sin problemas.";"";"";"es-hardware-ley-moore-2"
"¿Qué memoria USB tendrá más capacidad por cada euro de su precio?";"";"";"Una memoria de 128 gigabytes.";"Una memoria de 512 gigabytes.";"Una memoria de 32 gigabytes.";"Una memoria de 64 gigabytes.";"";"";"es-hardware-ley-moore-2"
"¿Qué procesador tendrá mayor rendimiento por cada euro de su precio?";"";"";"Un procesador de 150 euros.";"Un procesador de 70 euros.";"Un procesador de 450 euros.";"Un procesador de 900 euros.";"";"";"es-hardware-ley-moore-2"
