Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál es la unidad de carga eléctrica?";"";"";"El Coulomb (C)";"El Vatio (W)";"El Joule (J)";"El Amperio (A)";"";"";"es-electric-units-magnitudes"
"¿Cuál es la unidad de Voltaje (V)?";"";"";"El Voltio (V)";"El Ohmio (Ω)";"El Amperio (A)";"El Vatio (W)";"";"";"es-electric-units-magnitudes"
"¿Cuál es la unidad de Intensidad de corriente (I)?";"";"";"El Amperio (A)";"El Ohmio (Ω)";"El Voltio (V)";"El Vatio (W)";"";"";"es-electric-units-magnitudes"
"¿Cuál es la unidad de Resistencia (R)?";"";"";"El Ohmio (Ω)";"El Voltio (V)";"El Amperio (A)";"El Vatio (W)";"";"";"es-electric-units-magnitudes"
"¿Cuál es la unidad de Potencia (P)?";"";"";"El Vatio (W)";"El Ohmio (Ω)";"El Voltio (V)";"El Amperio (A)";"";"";"es-electric-units-magnitudes"
"¿Cuál es la unidad de Energía eléctrica (E)?";"";"";"El kilovatio hora (kWh)";"El Ohmio (Ω)";"El Voltio (V)";"El Amperio (A)";"";"";"es-electric-units-magnitudes"
"¿Qué miden los Amperios (A)?";"";"";"Intensidad de corriente (I)";"Potencia (P)";"Resistencia (R)";"Voltaje (V)";"";"";"es-electric-units-magnitudes"
"¿Qué miden los Voltios (V)?";"";"";"Voltaje (V)";"Intensidad de corriente (I)";"Potencia (P)";"Resistencia (R)";"";"";"es-electric-units-magnitudes"
"¿Qué miden los Ohmios (Ω)?";"";"";"Resistencia (R)";"Intensidad de corriente (I)";"Potencia (P)";"Voltaje (V)";"";"";"es-electric-units-magnitudes"
"¿Qué miden los Vatios (W)?";"";"";"Potencia (P)";"Intensidad de corriente (I)";"Resistencia (R)";"Voltaje (V)";"";"";"es-electric-units-magnitudes"
"¿Qué miden los kilovatios hora (kWh)?";"";"";"Energía eléctrica (E)";"Potencia (P)";"Resistencia (R)";"Voltaje (V)";"";"";"es-electric-units-magnitudes"
"¿Qué miden los Coulomb (C)?";"";"";"Carga eléctrica (Q)";"Intensidad de corriente (I)";"Resistencia (R)";"Voltaje (V)";"";"";"es-electric-units-magnitudes"
"¿A cuánto equivale un Coulomb (C)?";"";"";"6,2 x 10^18 electrones";"6,2 x 10^12 electrones";"6,2 x 10^6 electrones";"6,2 x 10^3 electrones";"";"";"es-electric-units-magnitudes"
"Sí por un circuito pasan 5.000.000 electrones en 1 segundo, ¿qué intensidad estará pasando?";"";"";"Mucho menos de un amperio";"Muchísimos amperios";"Pocos amperios";"Un amperio";"";"";"es-electric-units-magnitudes"
"Si por un circuito pasa un amperio ¿Cuántos electrones estarán circulando por él?";"";"";"Trillones cada segundo";"Miles cada segundo";"Millones cada segundo";"Billones cada segundo";"";"";"es-electric-units-magnitudes"
"¿Qué frase estaría bien expresada?";"";"";"Por favor, mide la intensidad que pasa por ese cable";"Por favor, mide el voltaje que pasa por ese cable";"Por favor, mide la resistencia que pasa por ese cable";"Por favor, mide la potencia que pasa por ese cable";"";"";"es-electric-units-magnitudes"
"¿Qué frase estaría bien expresada?";"";"";"Por favor, mide el voltaje que hay entre esas dos bornas";"Por favor, mide la intensidad que hay entre esas dos bornas";"Por favor, mide la potencia que hay entre esas dos bornas";"Por favor, mide la energía que hay entre esas dos bornas";"";"";"es-electric-units-magnitudes"
"¿Qué es la Intensidad de una corriente?";"";"";"La cantidad de electrones que pasan por un punto en un tiempo determinado";"La energía de esa corriente";"La oposición que presenta un material a ser atravesado por los electrones";"La energía producida por los electrones al atravesar un componente determinado";"";"";"es-electric-units-magnitudes"
