Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"La propiedad de poder extenderse fácilmente en láminas al aplicar presión se denomina";"";"";"Maleabilidad";"Ductilidad";"Tenacidad";"Elasticidad";"";"";"es-material-properties"
"¿Qué material es más maleable?";"";"";"Oro";"Madera";"Cristal";"Cuero";"";"";"es-material-properties"
"La propiedad de poder extenderse fácilmente en hilos al estirar se denomina";"";"";"Ductilidad";"Maleabilidad";"Tenacidad";"Elasticidad";"";"";"es-material-properties"
"¿Qué material es más dúctil?";"";"";"Plástico caliente";"Plástico frío";"Plastilina";"Cristal";"";"";"es-material-properties"
"La propiedad de poder convertirse en líquido al calentarse se denomina";"";"";"Fusibilidad";"Ductilidad";"Maleabilidad";"Soldabilidad";"";"";"es-material-properties"
"¿Qué material es más fusible?";"";"";"Estaño";"Madera";"Goma de neumático";"Cuero";"";"";"es-material-properties"
"La propiedad de algunos materiales de poder unirse con presión y calor se denomina";"";"";"Soldabilidad";"Fusibilidad";"Ductilidad";"Maleabilidad";"";"";"es-material-properties"
"¿Qué material es más soldable?";"";"";"Hierro";"Madera";"Corcho";"Papel";"";"";"es-material-properties"
"Cuando un litro de material pesa mucho más de un kilo se dice que tiene";"";"";"Mucha densidad";"Mucha dureza";"Mucho peso";"Mucha resistencia mecánica";"";"";"es-material-properties"
"¿Qué material es más denso?";"";"";"Un kilo de plomo";"Dos kilos de corcho";"Tres kilos de cristal";"Cuatro kilos de papel";"";"";"es-material-properties"
"¿Por qué el corcho flota sobre el agua?";"";"";"Porque tiene menos densidad que el agua";"Porque tiene más densidad que el agua";"Porque es sólido y el agua es líquida";"Ninguna es correcta";"";"";"es-material-properties"
"¿Por qué el hierro se hunde bajo el agua?";"";"";"Porque tiene más densidad que el agua";"Porque tiene menos densidad que el agua";"Porque es sólido y el agua es líquida";"Ninguna es correcta";"";"";"es-material-properties"
"¿Por qué el hierro flota sobre el mercurio líquido?";"";"";"Porque tiene menos densidad que el mercurio";"Porque tiene más densidad que el mercurio";"Porque es sólido y el mercurio es líquido";"Ninguna es correcta";"";"";"es-material-properties"
"La resistencia a ser rayado por otro objeto se denomina";"";"";"Dureza";"Tenacidad";"Resistencia mecánica";"Rayabilidad";"";"";"es-material-properties"
"Lo contrario de un material duro es un material";"";"";"Blando";"Frágil";"Plástico";"Dúctil";"";"";"es-material-properties"
"¿Qué material es más duro?";"";"";"Diamante";"Estaño";"Plástico";"Mármol";"";"";"es-material-properties"
"¿Por qué puedo rayar un bate de madera con un cristal?";"";"";"Porque el cristal es más duro que la madera";"Porque la madera es más dura que el cristal";"Porque el cristal tiene mucho filo";"Porque el bate de madera puede romper el cristal";"";"";"es-material-properties"
"La resistencia de un material a ser golpeado sin romperse se denomina";"";"";"Tenacidad";"Dureza";"Resistencia mecánica";"Golpeabilidad";"";"";"es-material-properties"
"Lo contrario de un material tenaz es un material";"";"";"Frágil";"Blando";"Plástico";"Dúctil";"";"";"es-material-properties"
"¿Qué material es más tenaz?";"";"";"Palo de béisbol de madera";"Cristal de una ventana";"Placa de escayola";"Lavabo de porcelana";"";"";"es-material-properties"
"La propiedad de poder deformarse y recuperar luego la forma original se denomina";"";"";"Elasticidad";"Tenacidad";"Resistencia mecánica";"Deformabilidad";"";"";"es-material-properties"
"Lo contrario de un material elástico es un material";"";"";"Plástico";"Blando";"Frágil";"Dúctil";"";"";"es-material-properties"
"¿Qué material es más elástico?";"";"";"Neumático de automóvil";"Plástico fundido";"Plastilina";"Cristal";"";"";"es-material-properties"
"La propiedad de poder soportar esfuerzos sin romperse ni deformarse se denomina";"";"";"Resistencia mecánica";"Tenacidad";"Dureza";"Esforzabilidad";"";"";"es-material-properties"
"¿Qué material tiene más resistencia mecánica?";"";"";"Barra de acero";"Barra de madera";"Barra de cuarzo";"Barra de plástico";"";"";"es-material-properties"
"La capacidad que tiene un material de transmitir el calor se denomina";"";"";"Conductividad térmica";"Dilatación térmica";"Conductividad eléctrica";"Caloribilidad";"";"";"es-material-properties"
"¿Qué material tendrá mejor conductividad térmica?";"";"";"Un metal";"El plástico";"La madera";"Un material cerámico";"";"";"es-material-properties"
"La propiedad de aumentar de tamaño al calentarse se denomina";"";"";"Dilatación térmica";"Conductividad térmica";"Oxidación";"Aumentabilidad";"";"";"es-material-properties"
"La capacidad que tiene un material de transmitir la electricidad se denomina";"";"";"Conductividad eléctrica";"Conductividad térmica";"Dilatación térmica";"Caloribilidad";"";"";"es-material-properties"
"¿Qué material tendrá mejor conductividad eléctrica?";"";"";"Un metal";"El plástico";"La madera";"Un material cerámico";"";"";"es-material-properties"
"La capacidad de combinarse con el oxígeno del aire se denomina";"";"";"Oxidación";"Corrosión";"Oxidificación";"Acidificación";"";"";"es-material-properties"
"¿Qué material tendrá más oxidación al aire libre?";"";"";"Hierro";"Plástico";"Madera";"Granito";"";"";"es-material-properties"
