Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Que quere dicir que a electricidade sexa un fenómeno natural?";"";"";"Que non foi inventada";"Que se inventou hai moitísimo tempo";"Que non se pode xerar artificialmente";"Que é ecolóxica";"";"";"gal_electric_electricity"
"A electricidade e o magnetismo son 2 ____________ do mesmo fenómeno, o electromagnetismo";"";"";"Manifestacións";"Efectos";"Forzas";"Magnitudes";"";"";"gal_electric_electricity"
"A palabra electricidade vén do grego elektron, que significa...";"";"";"ámbar";"electricidade";"imán";"lóstrego";"";"";"gal_electric_electricity"
"Como se chamaba o grego que lle deu o nome á electricidade?";"";"";"Tales";"Pitágoras";"Theodorakis";"Aristóteles";"";"";"gal_electric_electricity"
"Cando comezou a falarse da electricidade e a interesarse pola súa natureza?";"";"";"Arredor do ano 600AC, na civilización grega";"A finais do século XVIII, coa revolución científica";"A finais do século XIX, coa lámpada eléctrica";"No século XV, coa pila de volta e os experimentos de Galvany";"";"";"gal_electric_electricity"
"Cando dicimos que se dá comezo ao uso da electricidade de xeito comercial?";"";"";"A finais do século XIX, coa lámpada eléctrica";"Na época dos antiguos gregos";"Coa revolución científica, a finais do século XVIII";"A mediados do século XX, coa invención do transistor";"";"";"gal_electric_electricity"
"A experimentación científica coa electricidade comezou, aproximadamente...";"";"";"A finais do século XVIII";"A finais do século XIX";"A principios do século XX";"A finais do século XVII";"";"";"gal_electric_electricity"
"Que feito histórico coincidiu no tempo, aproximadamente, co comezo da experimentación científica coa electricidade?";"";"";"A Revolución Francesa";"O Descubrimento de América";"A chegada do home á Lúa";"A fundación do Imperio Romano";"";"";"gal_electric_electricity"
"Cal non pertence á época da revolución científica?";"";"";"Edison";"Galvani";"Volta";"Faraday";"";"";"gal_electric_electricity"
"Con que descubrimento dicimos que comezou o uso da electricidade de xeito comercial";"";"";"A lámpada eléctrica";"A pila de Volta";"O ámbar frotado contra algún tecido";"O transistor";"";"";"gal_electric_electricity"
"A implantación e desenvolvemento comercial da electricidade comezou coa lámpada eléctrica...";"";"";"A finais do século XIX";"A comezos do século XX";"A mediados do século XX";"A comezos do século XIX";"";"";"gal_electric_electricity"
"A era da información e a comunicación tamén se desenvolve sobre a electricidade, e o compoñente fundamental sobre o que se asenta é...";"";"";"O transistor";"A lámpada eléctrica";"O electroimán";"O relé";"";"";"gal_electric_electricity"
"Cando está cargado un corpo?";"";"";"cando ten máis cargas dun signo que doutro";"cando ten igual número de cargas positivas e negativas";"cando ten máis cargas positivas que negativas";"cando ten máis cargas negativas que positivas";"";"";"gal_electric_electricity"
"Cando dicimos que un corpo está cargado?";"";"";"Cando ten máis electróns que protóns, ou ao revés";"Cando ten todas as cargas";"Cando ten máis cargas de signo positivo que de signo negativo";"Cando ten máis cargas de signo negativo que de signo positivo";"";"";"gal_electric_electricity"
"Cal é a unidade de carga eléctrica?";"";"";"O Coulomb";"O Vatio";"O Joule";"O Amperio";"";"";"gal_electric_electricity"
"A canto equivale a unidade de carga?";"";"";"6,2 x 10e18 electróns";"6,2 x 10e12 electróns";"6,2 x 10e6 electróns";"6,2 x 10e3 electróns";"";"";"gal_electric_electricity"
"Que partículas do átomo están cargadas?";"";"";"os electróns, negativamente, e os protóns, positivamente";"os electróns, negativamente, e os neutróns, positivamente";"os protóns, positivamente, e os neutróns, negativamente";"os electróns, positivamente, e os protóns, negativamente";"";"";"gal_electric_electricity"
"Que é unha corrente eléctrica?";"";"";"Un fluxo de electróns a través dun medio";"Un fluxo de protóns a través dun medio";"Un conxunto de electróns en movemento";"Un desprazamento de calquera tipo de partículas eléctricas";"";"";"gal_electric_electricity"
