Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué significa la sigla GIF?";"";"";"Graphics Format Interchange.";"Graphics Image Format.";"Global Internet Framework.";"Grouped Image File.";"";"";"es-software-formatos-imagen-5"
"¿Quién lanzó el formato GIF en 1987?";"";"";"CompuServe.";"Microsoft.";"Apple.";"IBM.";"";"";"es-software-formatos-imagen-5"
"¿Por qué el formato GIF es ampliamente utilizado en Internet?";"";"";"Porque tiene un amplio soporte y compatibilidad.";"Porque tiene una alta calidad de imagen.";"Porque tiene capacidad para representar millones de colores.";"Porque tiene funcionalidades avanzadas de edición.";"";"";"es-software-formatos-imagen-5"
"¿Cuál es una característica especial del formato GIF?";"";"";"Puede guardar imágenes en movimiento o animaciones.";"Ofrece una amplia paleta de colores.";"Tiene una alta resolución.";"No soporta transparencias en imágenes fijas.";"";"";"es-software-formatos-imagen-5"
"¿Por qué los videos con imágenes fotográficas en formato GIF pueden presentar pérdida de color?";"";"";"Debido a que el formato solo maneja 256 colores.";"Por su incompatibilidad con videos.";"Debido a su falta de soporte para animaciones.";"Por limitaciones en el tamaño de archivo.";"";"";"es-software-formatos-imagen-5"
"¿Qué limitación tiene el formato GIF en términos de colores?";"";"";"Solo puede manejar una paleta de 256 colores.";"Ofrece una gama ilimitada de colores.";"Soporta colores CMYK.";"Utiliza el modelo RGB de 24 bits por color.";"";"";"es-software-formatos-imagen-5"
"¿Qué formato es superior al GIF para dibujos con transparencias?";"";"";"PNG.";"BMP.";"JPEG.";"TIFF.";"";"";"es-software-formatos-imagen-5"
"¿Cuál es la aplicación principal del formato GIF?";"";"";"Almacenar dibujos y animaciones con o sin transparencia.";"Editar fotografías de alta resolución.";"Crear videos de larga duración.";"Almacenar imágenes estáticas de alta calidad y resolución.";"";"";"es-software-formatos-imagen-5"
"¿Qué significa la sigla TIFF?";"";"";"Tagged Image File Format.";"Text Image Formatting Framework.";"Technological Image File Finder.";"Total Image Format Feature.";"";"";"es-software-formatos-imagen-5"
"¿En qué año se publicó la versión 6 del formato TIFF?";"";"";"1992.";"1985.";"2000.";"1995.";"";"";"es-software-formatos-imagen-5"
"¿Cuál es uno de los usos principales del formato TIFF?";"";"";"Industria gráfica y fotografía profesional.";"Uso doméstico y redes sociales.";"Juegos en línea y multimedia.";"Programación y desarrollo web.";"";"";"es-software-formatos-imagen-5"
"¿Qué cantidad de memoria utiliza el formato TIFF cuando almacena fotografías sin pérdidas?";"";"";"Mucha memoria, especialmente si se utiliza mucha profundidad de color.";"Poca memoria porque tiene una compresión muy eficiente con pérdida de calidad.";"Mucha memoria porque es un formato obsoleto.";"Poca memoria porque solo permite almacenar imágenes pequeñas.";"";"";"es-software-formatos-imagen-5"
"¿Cuál es una de las características destacadas del formato TIFF?";"";"";"Compresión sin pérdidas.";"Compresión con pérdidas mínimas.";"Alta compresión para imágenes grandes.";"Baja calidad en la edición fotográfica.";"";"";"es-software-formatos-imagen-5"
"¿En qué ámbitos es apreciado el formato TIFF?";"";"";"Edición fotográfica profesional y fotografía científica.";"Redes sociales y entretenimiento.";"Programación y desarrollo de videojuegos tanto para consolas como para PC.";"Uso doméstico y aficionado.";"";"";"es-software-formatos-imagen-5"
"¿Qué tipo de compresión utiliza el formato TIFF?";"";"";"Sin pérdidas.";"Con pérdidas mínimas.";"Compresión eficiente.";"Alta compresión para ahorrar espacio.";"";"";"es-software-formatos-imagen-5"
"¿Qué es el formato RAW en fotografía?";"";"";"Formatos utilizados por cámaras fotográficas profesionales para guardar imágenes sin pérdidas.";"Un formato de compresión para imágenes en línea.";"Un estándar para imágenes en redes sociales.";"Un formato de archivo para documentos de texto.";"";"";"es-software-formatos-imagen-5"
"¿Qué característica destaca al formato RAW en comparación con el formato JPEG?";"";"";"Gran profundidad de color y almacenamiento sin pérdidas.";"Compresión eficiente y bajo consumo de memoria.";"Uso de paletas de colores reducida y compresión con pérdidas.";"Alta velocidad de transferencia de archivos.";"";"";"es-software-formatos-imagen-5"
"¿Cuál es el principal inconveniente del formato RAW?";"";"";"Falta de estandarización entre fabricantes.";"Tamaño de archivo demasiado pequeño.";"Incompatibilidad con cámaras de gama baja.";"Compresión con pérdidas en la calidad de la imagen.";"";"";"es-software-formatos-imagen-5"
"Un ejemplo de la capacidad que tiene el formato RAW para la edición fotográfica es ...";"";"";"Ajustar la luminosidad sin perder calidad.";"Aplicar filtros artísticos a las imágenes.";"Cambiar el formato de color de la imagen.";"Reducir el tamaño de archivo de la imagen.";"";"";"es-software-formatos-imagen-5"
"¿Cuántos bits por pixel puede tener la profundidad de color en el formato RAW?";"";"";"De 36 a 48 bits por pixel.";"De 8 a 16 bits por pixel.";"De 16 a 24 bits por pixel.";"De 1 a 8 bits por pixel.";"";"";"es-software-formatos-imagen-5"
