Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué densidad tienen los plásticos?";"";"";"Parecida a la densidad del agua";"Mucho mayor que la densidad del agua";"Mucho menor que la densidad del agua";"Los plásticos no tienen densidad";"";"";"es_material_plastics"
"¿Los plásticos flotan?";"";"";"Algunos plásticos flotan y otros se hunden";"Los plásticos siempre flotan en el agua";"Los plásticos siempre se hunden en el agua";"Los plásticos no se deben mojar con agua";"";"";"es_material_plastics"
"¿Qué conductividad tienen los plásticos?";"";"";"Son buenos aislantes térmicos y eléctricos";"Conducen bien la electricidad pero mal el calor";"Conducen bien el calor pero mal la electricidad";"Conducen bien el calor y la electricidad";"";"";"es_material_plastics"
"¿Son renovables los plásticos?";"";"";"No son renovables";"Si son renovables";"Si porque se pueden reciclar con facilidad muchas veces";"";"";"";"es_material_plastics"
"¿Son tenaces los plásticos?";"";"";"La mayoría si, porque soportan bien los golpes sin romperse";"La mayoría si, porque soportan bien que les intentes rayar";"Si, porque tienen buena resistencia mecánica";"No, son blandos";"";"";"es_material_plastics"
"La mayoría de los plásticos son...";"";"";"Muy dúctiles y muy maleables, por lo que es fácil fabricar hilos y láminas con ellos";"Muy dúctiles, pero poco maleables";"Muy maleables, pero poco dúctiles";"Poco maleables y poco dúctiles, por lo que no es fácil fabricar hilos y láminas con ellos.";"";"";"es_material_plastics"
"El punto de fusión de los plásticos es...";"";"";"Bajo, por lo que no se pueden utilizar para resistir altas temperaturas";"Alto, por lo que pueden resistir altas temperaturas";"Bajo, porque se funden a temperaturas mayores de 70ºC";"Alto, porque que se funden por encima de 700ºC";"";"";"es_material_plastics"
"La resistencia de los plásticos a la corrosión...";"";"";"Es muy buena. Soportan sin problemas la oxidación y los ácidos";"Es mala, se descomponen con facilidad";"Tienen buena resistencia a la oxidación, pero mala resistencia a los ácidos";"Tienen buena resistencia a los ácidos, pero mala a la oxidación";"";"";"es_material_plastics"
"¿Existen plásticos naturales o son todos sintéticos?";"";"";"Si hay plásticos naturales, por ejemplo el látex";"No, son todos sintéticos";"";"";"";"";"es_material_plastics"
"¿Qué son los plásticos termoplásticos?";"";"";"Plásticos que se funden con el calor todas las veces que se desee";"Plásticos que no se funden con el calor";"Plásticos que se vuelven elásticos con el calor";"Plásticos elásticos, como el caucho";"";"";"es_material_plastics"
"¿Qué son los plásticos termoestables?";"";"";"Plásticos que no se funden con el calor";"Plásticos que se funden con el calor todas las veces que se desee";"Plásticos que se vuelven elásticos con el calor";"Plásticos elásticos, como el caucho";"";"";"es_material_plastics"
"¿Qué son los plásticos elastómeros?";"";"";"Plásticos elásticos, como el caucho";"Plásticos que no se funden con el calor";"Plásticos que se funden con el calor todas las veces que se desee";"Plásticos que se vuelven elásticos con el calor";"";"";"es_material_plastics"
