Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué es el hardware?";"";"";"El conjunto de partes físicas de un sistema informático.";"El conjunto de programas de un sistema informático.";"El conjunto de datos de un sistema informático.";"El conjunto de partes virtuales de un sistema informático.";"";"";"es-hardware-intro-2"
"¿Cuál es la diferencia entre hardware y software?";"";"";"El hardware es físico y el software es intangible.";"El hardware es intangible y el software es físico.";"El hardware es caro y el software es barato.";"El hardware es propietario y el software es libre.";"";"";"es-hardware-intro-2"
"¿Qué es la informática?";"";"";"La ciencia que se encarga de estudiar las técnicas, tecnologías y herramientas necesarias para recopilar, almacenar, procesar y transmitir información.";"La ciencia que se encarga de estudiar las técnicas, tecnologías y herramientas necesarias para recopilar, almacenar, procesar y transmitir hardware.";"La ciencia que se encarga del estudio de la historia de los ordenadores.";"La ciencia que se encarga del estudio de la física de los ordenadores.";"";"";"es-hardware-intro-2"
"¿Cuáles son algunos de los campos incluidos en la informática?";"";"";"Programación, bases de datos, inteligencia artificial, criptografía, redes de computadoras, configuración del hardware, entre otros.";"Medicina, biología, química, física, matemáticas, entre otros.";"Historia, arte, literatura, filosofía, entre otros.";"Educación, deportes, música, entre otros.";"";"";"es-hardware-intro-2"
"¿Qué son los periféricos de un ordenador?";"";"";"Los componentes que se conectan al ordenador y amplían sus capacidades.";"Los cables que conectan los componentes del ordenador.";"Los componentes internos del ordenador.";"Los programas y datos del ordenador.";"";"";"es-hardware-intro-2"
"¿Qué es la criptografía?";"";"";"La ciencia que se encarga del estudio de la comunicación segura.";"La ciencia que se encarga del estudio de comunicación a distancia.";"La ciencia que se encarga del estudio de la programación de ordenadores.";"La ciencia que se encarga del estudio de los ordenadores cuánticos.";"";"";"es-hardware-intro-2"
"¿Qué es un ordenador?";"";"";"Es una máquina que tiene la capacidad de calcular, ordenar y clasificar grandes cantidades de datos.";"Es una máquina que realiza cálculos matemáticos.";"Es una máquina que se utiliza para enviar correos electrónicos.";"Es una máquina que se utiliza para jugar con videojuegos.";"";"";"es-hardware-intro-2"
"¿De dónde proviene la palabra "ordenador"?";"";"";"Proviene del francés "ordinateur", acuñado por la empresa IBM en 1955 en Francia.";"Proviene del inglés "computer" traducido al español.";"Proviene del español "computador".";"Proviene del latín "computare".";"";"";"es-hardware-intro-2"
"¿Qué significa la palabra "computador"?";"";"";"Es una palabra que se utiliza en el mundo anglosajón y en Latinoamérica para referirse a las máquinas que realizan cálculos matemáticos.";"Es una palabra que se utiliza en el mundo anglosajón y en Latinoamérica para referirse a una persona dedicada a realizar cálculos matemáticos.";"Es una palabra que se utiliza para referirse a una máquina que se utiliza para enviar correos electrónicos.";"Es una palabra que se utiliza para referirse a una máquina que se utiliza para hacer llamadas telefónicas.";"";"";"es-hardware-intro-2"
"¿Por qué se utiliza la palabra "computador" en el mundo anglosajón y en Latinoamérica?";"";"";"Porque originalmente se utilizaba para referirse a una persona dedicada a realizar cálculos matemáticos y luego se adaptó para referirse a las máquinas que realizan esta función.";"Porque fue acuñada por la empresa IBM en 1955 en Francia.";"Porque hace referencia a la capacidad que tienen los ordenadores para ordenar y clasificar grandes cantidades de datos.";"Porque es una palabra más fácil de pronunciar que "ordenador".";"";"";"es-hardware-intro-2"
