Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál será el voltaje en el punto 'a'?";"images/electric-voltEnA644.png";"500";"3V";"6V";"4V";"No se puede saber sin el dato de la intensidad";"";"";"es_electric_ohms_law"
"¿Cuál será el voltaje en el punto 'a'?";"images/electric-voltEnA60044.png";"500";"300V";"3V";"400V";"150V";"";"";"es_electric_ohms_law"
"¿Cuál será el voltaje en el punto 'a'?";"images/electric-voltEnA622.png";"500";"3V";"6V";"2V";"4V";"";"";"es_electric_ohms_law"
"¿Cuál será el voltaje en el punto 'a'?";"images/electric-voltEnA62K2K.png";"500";"3V";"3KV";"0,003V";"0,00003V";"";"";"es_electric_ohms_law"
"¿Cuál será el voltaje en el punto 'a'?";"images/electric-voltEnA61K1.png";"500";"Casi 0V";"Casi 6V";"Sobre 3V";"Más de 6V";"";"";"es_electric_ohms_law"
"¿Cuál será el voltaje en el punto 'a'?";"images/electric-voltEnA611K.png";"500";"Casi 6V";"Casi 0V";"Sobre 3V";"Más de 6V";"";"";"es_electric_ohms_law"
"¿Cuál será el voltaje en el punto 'a'?";"images/electric-voltEnA642.png";"500";"2V";"4V";"3V";"6V";"";"";"es_electric_ohms_law"
"¿Cuál de estas es una expresión CORRECTA de la Ley de Ohm?";"";"";"R=V/I";"R=I/V";"R=V·I";"R.V=I";"";"";"es_electric_ohms_law"
"¿Cuál de las siguientes sería una expresión incorrecta de la ley de Ohm?";"";"";"R=I.V";"I=V/ R";"I. R=V";"R=V/I";"";"";"es_electric_ohms_law"
"Tienes un circuito conectado a un voltaje de 20V por el que pasa una corriente de 10A. ¿Cuál es la resistencia que tiene ese circuito?";"";"";"2Ω";"200 Ω";"0,5Ω";"1Ω";"";"";"es_electric_ohms_law"
"La intensidad que circula por un circuito es de 2A y está alimentado a 6V. ¿Qué resistencia hay en el circuito?";"";"";"3Ω";"12Ω";"0,33Ω";"2/6Ω";"";"";"es_electric_ohms_law"
"Conecto una resistencia de 100 Ω en un circuito con una pila de 9V. ¿Qué intensidad circula?";"";"";"0,09A";"900A";"0,9A";"11,11A";"";"";"es_electric_ohms_law"
"Tienes un circuito con una resistencia de 4Ω conectado a una pila de 8V. ¿Qué intensidad circulará?";"";"";"2A";"32A";"0,5A";"12A";"";"";"es_electric_ohms_law"
"Tienes un circuito de resistencia de 3Ω por el que pasa una intensidad de 9A ¿A qué voltaje estará conectado ese circuito?";"";"";"27V";"0,33V";"3V";"12V";"";"";"es_electric_ohms_law"
"En un circuito con una resistencia de 100 Ω la intensidad es de 0,5A. ¿Cuál es el voltaje?";"";"";"50V";"200V";"5V";"0,005V";"";"";"es_electric_ohms_law"
"Tienes un circuito con un voltaje determinado conectado a una resistencia. Sustituyes esa resistencia por una de mayor valor, ¿qué va a pasar en el circuito?";"";"";"La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo, será menor";"La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo, aumentará";"La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo no se verá afectada";"La intensidad que pasa por la resistencia será mayor";"";"";"es_electric_ohms_law"
"Tienes un circuito con un voltaje determinado conectado a una resistencia. Sustituyes esa resistencia por una de menor valor, ¿qué va a pasar?";"";"";"La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo, aumentará";"La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo, disminuirá";"La cantidad de electrones que van a pasar por la resistencia cada unidad de tiempo no se verá afectada";"La intensidad que pasa por la resistencia será más pequeña";"";"";"es_electric_ohms_law"
"Estás midiendo la intensidad que pasa por una resistencia que no varía. En un momento determinado, observas que el valor de la intensidad reduce a la mitad. ¿Qué habrá pasado?";"";"";"El voltaje del circuito se redujo, también, a la mitad";"El voltaje del circuito se duplicó";"No se puede saber sin conocer el voltaje a la que está conectado el circuito";"La cantidad de electrones que pasan por el circuito está aumentando por algún motivo";"";"";"es_electric_ohms_law"
"Estás midiendo la intensidad que pasa por una resistencia que no varía. En un momento determinado el valor de la intensidad se duplica. ¿Qué habrá pasado?";"";"";"El voltaje del circuito se duplicó también";"El voltaje del circuito se redujo la mitad";"No se puede saber sin conocer el voltaje al que está conectado el circuito";"La cantidad de electrones que pasan por el circuito está reduciéndose por algún motivo";"";"";"es_electric_ohms_law"
"¿Por qué circuito circulará más corriente?";"images/electric-leiOhmSameVolt.png";"500";"Por el 1";"Por el 2";"Por el 3";"Por el 4";"";"";"es_electric_ohms_law"
"¿Por qué circuito circulará más corriente?";"images/electric-leiOhmSameRes.png";"500";"Por el 2";"Por el 1";"Por el 3";"Por el 4";"";"";"es_electric_ohms_law"
"¿Por qué circuito circulará más corriente?";"images/electric-leiOhmSameVoltDecimalOhm.png";"500";"Por el 3";"Por el 2";"Por el 1";"Por el 4";"";"";"es_electric_ohms_law"
"¿Por qué circuito circulará más corriente?";"images/electric-leiOhmSameVoltKohm.png";"500";"Por el 2";"Por el 1";"Por el 3";"Por el 4";"";"";"es_electric_ohms_law"
"¿Por qué circuito circulará más corriente?";"images/electric-leiOhmDifVoltDifRes.png";"500";"Por el 4";"Por el 1";"Por el 2";"Por el 3";"";"";"es_electric_ohms_law"
