Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Dónde nació la Primera revolución industrial a finales del siglo XVIII?";"";"";"Inglaterra.";"Francia.";"Alemania.";"Estados Unidos.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué invento marcó el inicio de la Primera Revolución Industrial?";"";"";"La máquina de vapor.";"El telar automático.";"Los vehículos a motor.";"La bombilla incandescente.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué efecto tuvo el invento de la máquina de vapor en la agricultura durante la Primera Revolución Industrial?";"";"";"Propició la agricultura a gran escala.";"Redujo la producción agrícola.";"Aumentó el esfuerzo de las personas en el campo.";"No tuvo impacto en la agricultura.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Por qué se produjo una migración masiva del campo a las ciudades durante la Primera Revolución Industrial?";"";"";"Porque las fábricas estaban en las ciudades.";"Porque la vida en el campo era más cómoda";"Porque el campo ofrecía mejores oportunidades de empleo.";"Porque la industria se desarrolló en áreas rurales.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué grupo social comenzó a emerger como resultado de la Primera Revolución Industrial?";"";"";"La clase obrera.";"La clase alta.";"Los aristócratas.";"Los campesinos.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Cuál fue una de las consecuencias laborales más comunes para los primeros trabajadores durante la Primera revolución industrial?";"";"";"Cumplir largas jornadas de trabajo con pocos descansos.";"Trabajar en condiciones seguras y cómodas.";"Tener muchas vacaciones pagadas.";"Recibir un salario elevado sin esfuerzo.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Cuál es uno de los principales cambios que ocurrieron durante la época de la Primera Revolución Industrial?";"";"";"La gran producción de artículos en fábricas mecanizadas.";"El auge de la agricultura de subsistencia.";"La expansión de las zonas rurales.";"La disminución de la sociedad urbana.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué actividad económica dejaron de realizar en gran medida los campesinos durante la Primera Revolución Industrial?";"";"";"El cultivo de la tierra.";"La manufactura en las fábricas.";"La pesca en los ríos.";"La cría de animales.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué fenómeno demográfico se produjo debido a la migración masiva durante la Primera Revolución Industrial?";"";"";"Las ciudades crecieron de manera espectacular.";"Las ciudades se despoblaron debido a la migración rural.";"Las fábricas se trasladaron al campo.";"Las zonas rurales se industrializaron.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué contribuyó a la competencia entre empresas durante la Primera Revolución Industrial?";"";"";"La necesidad de vender grandes cantidades de productos elaborados en fábricas.";"La falta de demanda de productos debido al empobrecimiento de los campesinos.";"La disminución de la producción industrial.";"La ausencia de empresas en ese período.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué tipo de sociedad se originó como resultado de la necesidad de vender productos de las fábricas durante la Primera Revolución Industrial?";"";"";"La sociedad de consumo.";"La sociedad agrícola.";"La sociedad artesanal.";"La sociedad feudal.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Cuál fue una de las principales características de las fábricas durante la Primera Revolución Industrial?";"";"";"La mecanización de la producción.";"La producción manual de productos.";"La falta de competencia entre empresas.";"La ubicación de las fábricas en zonas rurales.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué suministraba la energía necesaria para alimentar las máquinas grandes y potentes durante la Primera Revolución Industrial?";"";"";"Los motores de combustión, como la máquina de vapor.";"El viento y la energía solar.";"La tracción animal.";"Las fuentes de energía renovable.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué aleación metálica contribuyó a la fabricación de objetos duros y resistentes durante la Primera Revolución Industrial?";"";"";"El acero.";"El aluminio.";"El bronce.";"El hierro fundido.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué medio de transporte basado en la máquina de vapor permitió viajar a altas velocidades durante la Primera Revolución Industrial?";"";"";"El ferrocarril.";"El automóvil.";"Los barcos de vela.";"Las bicicletas.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Cómo se logró la comunicación a larga distancia de forma inmediata al final de la Primera Revolución Industrial?";"";"";"Mediante el telégrafo eléctrico.";"A través del correo postal.";"Usando telégrafos de luz.";"Con palomas mensajeras.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Cuál fue una de las principales aplicaciones de la electricidad durante la Primera Revolución Industrial?";"";"";"El telégrafo.";"La iluminación de las calles.";"El transporte con trenes eléctricos.";"La calefacción eléctrica de los hogares.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué permitía a las máquinas fabricar grandes cantidades de objetos iguales a bajo costo?";"";"";"La potencia de los motores de combustión.";"La habilidad de los trabajadores manuales.";"La falta de competencia entre empresas.";"La falta de tecnología.";"";"";"es-historia-tecnologia-revolucion-industrial"
"Durante la Primera Revolución Industrial, ¿qué recurso energético se utilizaba ampliamente para hacer funcionar las fábricas y medios de transporte?";"";"";"El carbón.";"El petróleo.";"El gas natural.";"La energía hidráulica.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué problema ambiental comenzó a surgir como resultado del uso generalizado del carbón durante la Primera Revolución Industrial?";"";"";"Contaminación ambiental.";"Reforestación de los bosques.";"Conservación de los recursos naturales";"Aumento de la biodiversidad.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Cuál es una de las consecuencias ambientales que afectan a las ciudades hasta la actualidad debido a los problemas de explotación de recursos naturales y contaminación?";"";"";"Producción de grandes cantidades de basura y residuos.";"Restauración completa de los ecosistemas urbanos.";"Desaparición de la contaminación ambiental.";"Disminución de la demanda de recursos naturales.";"";"";"es-historia-tecnologia-revolucion-industrial"
"Durante la Segunda Revolución Industrial, ¿qué tendencia se observa en la sociedad en términos de urbanización y consumo?";"";"";"La sociedad se vuelve más urbana y más consumista.";"La sociedad se vuelve más rural y menos consumista.";"La sociedad se vuelve más autárquica.";"La sociedad se vuelve más rural y más consumista.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué avances contribuyeron al aumento del acceso al conocimiento durante la Segunda Revolución Industrial?";"";"";"Avances en transportes y comunicaciones.";"La disminución de la educación.";"La restricción del acceso a la información.";"La falta de interés en la educación.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué cambios se producen en la educación como resultado de los avances en la Segunda Revolución Industrial?";"";"";"La escolarización obligatoria en los países desarrollados.";"La reducción de la educación en todos los países.";"La desaparición de la educación formal.";"El cierre de las escuelas.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué se necesita en las empresas debido a su mayor complejidad durante la Segunda Revolución Industrial?";"";"";"Un mayor número de burócratas, administrativos y obreros especializados.";"Un menor número de trabajadores.";"Menos formación en los empleados para poder ahorrar costes de mano de obra.";"Menos tecnología.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué papel desempeña el conocimiento científico-tecnológico en la Segunda Revolución Industrial?";"";"";"Vive un enorme desarrollo y se utiliza para mejorar o innovar en los productos de consumo.";"No tiene influencia en el desarrollo de la época.";"Se reduce en importancia.";"Limita la innovación en los productos de consumo.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Cuál es uno de los resultados notables de la Segunda Revolución Industrial mencionado en el texto?";"";"";"La expansión del conocimiento científico-tecnológico.";"La disminución de la urbanización de las ciudades.";"La falta de acceso a la educación de gran parte de la población.";"El declive de la industria.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué tecnología permitió iluminar y mantener la actividad en las ciudades de manera eficiente, limpia y segura durante la Segunda Revolución Industrial?";"";"";"La bombilla eléctrica.";"La lámpara de gas natural.";"La linterna de aceite.";"La vela de cera.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué innovación tecnológica cambió radicalmente el aspecto de las ciudades al permitirles crecer en altura durante la Segunda Revolución Industrial?";"";"";"El ascensor.";"El teléfono.";"La radio.";"El ferrocarril.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué tecnología se menciona como parte de la aplicación de la electricidad y la electrónica a las comunicaciones en la Segunda Revolución Industrial?";"";"";"El teléfono.";"El automóvil eléctrico.";"El avión.";"El telégrafo.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Cuál fue uno de los beneficios de la bombilla eléctrica en comparación con otras fuentes de iluminación de la época?";"";"";"Eficiencia, limpieza y seguridad.";"Mayor costo de operación.";"Mayor fragilidad de las bombillas de vidrio.";"Mayor contaminación.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué recurso energético fue reemplazado en la Segunda Revolución Industrial?";"";"";"El carbón fue reemplazado por los derivados del petróleo.";"Los derivados del petróleo fueron reemplazados por el gas natural.";"El viento y el agua fueron reemplazados por el carbón.";"El carbón fue reemplazado por la energía eólica y la energía solar.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Cuáles fueron las dos tecnologías estrella de la Segunda Revolución Industrial mencionadas en el texto?";"";"";"Petróleo y electricidad.";"Carbón y gas natural.";"Ferrocarril y telégrafo.";"Locomotora de vapor y vela.";"";"";"es-historia-tecnologia-revolucion-industrial"
"¿Qué invención tecnológica cambió de manera irreversible la vida en la ciudad durante la Segunda Revolución Industrial?";"";"";"El automóvil.";"El tren eléctrico.";"El barco de vapor.";"El tranvía eléctrico.";"";"";"es-historia-tecnologia-revolucion-industrial"
"Durante la Segunda Revolución Industrial, ¿qué fenómeno contribuyó al aumento de los problemas de contaminación y generación de residuos?";"";"";"La proliferación de los automóviles.";"La reducción del uso de vehículos.";"La disminución de la industrialización.";"El aumento de la agricultura.";"";"";"es-historia-tecnologia-revolucion-industrial"
