Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué es la materia prima en la clasificación de los materiales?";"";"";"Material primario que se encuentra en la naturaleza.";"Material obtenido de la transformación de otras materias primas.";"Producto terminado que se vende en tiendas.";"Material técnico que se obtiene de la madera.";"";"";"es-material-classification"
"¿Cuál es un ejemplo de materia prima?";"";"";"Seda.";"Cuerdas.";"Tornillos.";"Plástico.";"";"";"es-material-classification"
"¿Cuál es un ejemplo de materia prima?";"";"";"Madera.";"Tablones.";"Tornillos.";"Cuero.";"";"";"es-material-classification"
"¿Cuál es un ejemplo de materia prima?";"";"";"Cobre.";"Remache.";"Cremallera.";"Plástico.";"";"";"es-material-classification"
"¿Cuál es un ejemplo de materia prima?";"";"";"Arcilla.";"Cemento.";"Baldosín.";"Ladrillo.";"";"";"es-material-classification"
"¿Cuál es un ejemplo de materia prima?";"";"";"Hierro.";"Tubos.";"Planchas.";"Tornillos.";"";"";"es-material-classification"
"¿Qué son los materiales técnicos en el proceso de transformación de los materiales?";"";"";"Materiales obtenidos a partir de las materias primas.";"Productos terminados que se compran en las tiendas.";"Materias primas sin procesar.";"Materiales hechos exclusivamente de plástico.";"";"";"es-material-classification"
"¿Qué se obtiene a partir del algodón en la fabricación de materiales técnicos?";"";"";"Hilos y telas.";"Papel.";"Lana.";"Cuerdas de poliéster.";"";"";"es-material-classification"
"¿De dónde se obtiene el algodón?";"";"";"De una planta.";"Del pelo de las ovejas.";"De la lana.";"Del poliéster.";"";"";"es-material-classification"
"¿Qué materiales técnicos se obtienen del aluminio o del hierro?";"";"";"Tubos, ángulos, planchas, alambres.";"Tablones, listones, serrín, cartón.";"Hilos, cuerdas, telas, fieltros.";"Hilos, telas, cuerdas, láminas.";"";"";"es-material-classification"
"¿Qué materiales técnicos se obtienen del algodón o de la lana?";"";"";"Hilos, cuerdas, telas, fieltros.";"Tubos, ángulos, planchas, alambres.";"Tablones, listones, serrín, cartón.";"Hilos, telas, cuerdas, láminas.";"";"";"es-material-classification"
