Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál es el costo aproximado de un disco de Blu-ray?";"";"";"0,90 €.";"0,40 €.";"18 €.";"100 €.";"";"";"es-hardware-almacenamiento-6"
"¿Cuál es la capacidad de almacenamiento de un DVD?";"";"";"4,7 gigabytes.";"0,750 gigabytes.";"25 gigabytes.";"50 gigabytes.";"";"";"es-hardware-almacenamiento-6"
"¿Cuál fue la principal ventaja de los dispositivos de almacenamiento óptico en el momento en que salieron al mercado?";"";"";"Tenían más capacidad que los discos duros y bajo precio.";"Eran más rápidos que los discos duros.";"Eran más fáciles de usar que los discos duros.";"Eran más duraderos que los discos duros.";"";"";"es-hardware-almacenamiento-6"
"¿Por qué los discos ópticos ya no son rentables para almacenar grandes cantidades de datos?";"";"";"La capacidad de los discos duros ha crecido y su costo de almacenamiento ha bajado mucho.";"Los discos ópticos tienen una mayor velocidad de transferencia de datos.";"Los discos ópticos son más fáciles de usar que los discos duros.";"Los discos ópticos son más duraderos que los discos duros.";"";"";"es-hardware-almacenamiento-6"
"¿Cuál es la principal ventaja de las memorias USB en comparación con los discos ópticos?";"";"";"Son más versátiles y fáciles de leer y escribir.";"Son más duraderas que los discos ópticos.";"Son más baratas que los discos ópticos.";"Tienen una mayor capacidad de almacenamiento que los discos ópticos.";"";"";"es-hardware-almacenamiento-6"
"¿Cuál es el precio aproximado de una unidad de memoria USB con mayor capacidad que un Blu-ray en 2022?";"";"";"5 €.";"18 €.";"100 €.";"200 €.";"";"";"es-hardware-almacenamiento-6"
"¿Cuál es el rango de precios por gigabyte en las memorias USB de 2022?";"";"";"Entre 0,12 €/GB y 0,05 €/GB.";"Entre 0,50 €/GB y 0,90 €/GB.";"Entre 1 €/GB y 5 €/GB.";"Entre 5 €/GB y 25 €/GB.";"";"";"es-hardware-almacenamiento-6"
"¿Por qué se han popularizado las descargas de programas por internet?";"";"";"Porque la velocidad de descarga por internet ha aumentado mucho y resulta más barata y cómoda que un disco óptico.";"Porque la velocidad de descarga por internet ha disminuido mucho y resulta más barata y cómoda que un disco óptico.";"Porque los programas descargados por internet tienen una mayor capacidad de almacenamiento que los discos ópticos.";"Porque los discos ópticos son una alternativa más cómoda y rápida.";"";"";"es-hardware-almacenamiento-6"
"¿Cuál es la razón principal del declive del uso de los discos ópticos?";"";"";"El crecimiento exponencial de la capacidad de almacenamiento de los discos duros y las memorias USB.";"La dificultad de lectura y escritura de los discos ópticos.";"El alto costo de los discos ópticos en comparación con otros dispositivos de almacenamiento.";"La falta de versatilidad de los discos ópticos.";"";"";"es-hardware-almacenamiento-6"
"¿Cuál es una de las aplicaciones que han asumido las memorias USB en lugar de los discos ópticos?";"";"";"La reproducción de música en aparatos mp3.";"La venta de programas grabados en discos ópticos.";"La realización de copias de seguridad de datos.";"Ninguna de las anteriores.";"";"";"es-hardware-almacenamiento-6"
"¿En qué se basa la cinta magnética como soporte de almacenamiento?";"";"";"En una fina cinta de plástico impregnada en su superficie con material magnético.";"En una lámina de material metálico plateado que refleja un fino haz de luz láser.";"En una cinta de papel impregnada en su superficie con material magnético.";"En un disco de plástico impregnado en su superficie con material magnético.";"";"";"es-hardware-almacenamiento-6"
