Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué puerta lógica tiene este símbolo?";"../images/electric-simbolo-puerta-or.png";"180";"Puerta OR";"Puerta AND";"Puerta XOR";"Puerta NOT";"";"";"es-electric-digital"
"¿Qué puerta lógica tiene este símbolo?";"../images/electric-simbolo-puerta-nor.png";"180";"Puerta NOR";"Puerta NAND";"Puerta XOR";"Puerta NOT";"";"";"es-electric-digital"
"¿Qué puerta lógica tiene este símbolo?";"../images/electric-simbolo-puerta-and.png";"180";"Puerta AND";"Puerta OR";"Puerta XOR";"Puerta NOT";"";"";"es-electric-digital"
"¿Qué puerta lógica tiene este símbolo?";"../images/electric-simbolo-puerta-nand.png";"180";"Puerta NAND";"Puerta NOR";"Puerta XOR";"Puerta NOT";"";"";"es-electric-digital"
"¿Qué puerta lógica tiene este símbolo?";"../images/electric-simbolo-puerta-xor.png";"180";"Puerta XOR";"Puerta AND";"Puerta OR";"Puerta NOT";"";"";"es-electric-digital"
"¿Qué puerta lógica tiene este símbolo?";"../images/electric-simbolo-puerta-not.png";"180";"Puerta NOT";"Puerta NAND";"Puerta NOR";"Puerta XOR";"";"";"es-electric-digital"
"¿Cuál es el componente fundamental de la electrónica digital?";"";"";"El transistor";"La resistencia";"El condensador";"El transmisor";"";"";"es-electric-digital"
"¿Cuál no es una puerta lógica?";"";"";"TOR";"OR";"NOR";"XOR";"";"";"es-electric-digital"
"¿Qué función lógica se corresponde con esta tabla de verdad?";"../images/electric-table-not.png";"120";"NOT";"OR";"AND";"NOR";"";"";"es-electric-digital"
"¿Qué función lógica se corresponde con esta tabla de verdad?";"../images/electric-table-or.png";"180";"OR";"AND";"NOR";"NOT";"";"";"es-electric-digital"
"¿Qué función lógica se corresponde con esta tabla de verdad?";"../images/electric-table-and.png";"180";"AND";"OR";"NOR";"XOR";"";"";"es-electric-digital"
"¿Qué función lógica se corresponde con esta tabla de verdad?";"../images/electric-table-nor.png";"180";"NOR";"XNOR";"OR";"NOT";"";"";"es-electric-digital"
"¿Qué función lógica se corresponde con esta tabla de verdad?";"../images/electric-table-nand.png";"180";"NAND";"Ninguna";"AND";"XOR";"";"";"es-electric-digital"
"¿Qué función lógica se corresponde con esta tabla de verdad?";"../images/electric-table-xor.png";"180";"XOR";"XNOR";"OR";"NAND";"";"";"es-electric-digital"
"¿Qué función lógica se corresponde con esta tabla de verdad?";"../images/electric-table-xnor.png";"180";"XNOR";"Ninguna";"NAND";"XOR";"";"";"es-electric-digital"
"¿Qué función lógica se corresponde con esta tabla de verdad?";"../images/electric-table-tricky.png";"180";"Ninguna";"XOR";"NOT";"AND";"";"";"es-electric-digital"
"¿Quién publicó en 1854 "Las leyes del pensamiento", el libro con las bases de la lógica digital?";"";"";"George Boole";"Charles Babbage";"William Shockley";"Bill Gates";"";"";"es-electric-digital"
"¿En qué año publicó George Boole el libro "Las leyes del pensamiento", que consideramos el comienzo de la lógica digital?";"";"";"1854";"1904";"1934";"1954";"";"";"es-electric-digital"
"¿Qué puerta lógica se construye con este circuito?";"../images/electric-digital-01.png";"550";"AND";"OR";"NOR";"NAND";"";"";"es-electric-digital"
"¿Qué puerta lógica se construye con este circuito?";"../images/electric-digital-02.png";"550";"OR";"AND";"NOR";"NAND";"";"";"es-electric-digital"
"¿Qué puerta lógica se construye con este circuito?";"../images/electric-digital-03.png";"550";"NAND";"AND";"OR";"NOR";"";"";"es-electric-digital"
"¿Qué puerta lógica se construye con este circuito?";"../images/electric-digital-04.png";"550";"NOR";"AND";"OR";"NAND";"";"";"es-electric-digital"
"¿Qué puerta lógica se construye con este circuito?";"../images/electric-digital-05.png";"550";"NOT";"NOR";"NAND";"TOR";"";"";"es-electric-digital"
"¿Qué función lógica se construye con este circuito de puertas NAND?";"../images/electric-digital-06.png";"550";"AND";"NOT";"XOR";"OR";"";"";"es-electric-digital"
"¿Qué función lógica se construye con este circuito de puertas NAND?";"../images/electric-digital-07.png";"550";"NOT";"AND";"XOR";"OR";"";"";"es-electric-digital"
"¿Qué función lógica se construye con este circuito de puertas NAND?";"../images/electric-digital-08.png";"550";"OR";"NOT";"AND";"XOR";"";"";"es-electric-digital"
"¿Qué función lógica se construye con este circuito de puertas NAND?";"../images/electric-digital-09.png";"550";"XOR";"OR";"XNOR";"AND";"";"";"es-electric-digital"
"¿Qué función lógica se construye con este circuito de puertas NAND?";"../images/electric-digital-10.png";"550";"XNOR";"XOR";"OR";"AND";"";"";"es-electric-digital"
"¿Qué función lógica se construye con este circuito de puertas NAND?";"../images/electric-digital-11.png";"550";"NOR";"XOR";"OR";"AND";"";"";"es-electric-digital"
