Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Cal é o compoñente elemental da electrónica dixital?";"";"";"O transistor";"A resistencia";"O condensador";"O transmisor";"";"";"gal_electric_digital"
"Cal non é unha porta lóxica?";"";"";"TOR";"OR";"NOR";"XOR";"";"";"gal_electric_digital"
"Queres facer unha alarma que salte cando se abre calquera fiestra dunha habitación. Que tipo de portas lóxicas serán a base do teu circuíto?";"";"";"OR";"AND";"NOT";"NAND";"";"";"gal_electric_digital"
"Como funcionará un fecho SR, sabendo que S ven de set e R de reset?";"";"";"A entrada S a 1 fará que a saída se poña a 1 e a entrada R que se poña a 0. ";"A entrada R a 1 fará que a saída se poña a 1 e se está a 0 a saída será 0";"A entrada S a 1 fará que a saída se poña a 0 e a entrada R que se poña a 1.";"A entrada S fará que a saída se poña a 1, independentemente da R.";"";"";"gal_electric_digital"
"Como funcionará un fecho D, sabendo que ten entradas D (data) e E (enable)?";"";"";" Cando E estea a 1, a saída será o estado de D. Se E está a 0, manterá o último estado.";"Cando D estea a 1, a saída será o estado de E. Se D está a 0, manterá o último estado";"Cando E estea a 0, a saída será o estado de D. Se E está a 1, manterá o último estado.";"Cando E estea a 1, a saída será 1 ou 0 dependendo de se D estaba antes a 1 ou se non estaba antes a 1 e si a 0, sempre e cando E siga a estar a 0 ou a 1.";"";"";"gal_electric_digital"
"Quen publicou en 1854 "The laws of thought", o libro que consideramos o inicio da lóxica dixital?";"";"";"George Boole";"Charles Babbage";"William Shockley";"Bill Gates";"";"";"gal_electric_digital"
"En que ano publicou George Boole o libro "The Laws of Thought", que consideramos o inicio da lóxica dixital?";"";"";"1854";"1904";"1934";"1954";"";"";"gal_electric_digital"
"Que porta lóxica representa este símbolo?";"images/electric-notGate.png";"320";"NOT";"OR";"NAND";"NOR";"";"";"gal_electric_digital"
"Que porta lóxica representa este símbolo?";"images/electric-orGate.png";"320";"OR";"NOR";"AND";"XOR";"";"";"gal_electric_digital"
"Que porta lóxica representa este símbolo?";"images/electric-andGate.png";"320";"AND";"NAND";"OR";"XOR";"";"";"gal_electric_digital"
"Que porta lóxica representa este símbolo?";"images/electric-norGate.png";"320";"NOR";"NOT";"OR";"XOR";"";"";"gal_electric_digital"
"Que porta lóxica representa este símbolo?";"images/electric-nandGate.png";"320";"NAND";"AND";"NOR";"NOT";"";"";"gal_electric_digital"
"Que porta lóxica representa este símbolo?";"images/electric-xorGate.png";"320";"XOR";"XNOR";"OR";"NOR";"";"";"gal_electric_digital"
"Que porta lóxica representa este símbolo?";"images/electric-xnorGate.jpg";"320";"XNOR";"NOR";"OR";"XOR";"";"";"gal_electric_digital"
"Que porta lóxica se constrúe con este circuíto?";"images/electric-transistorNor.png";"320";"NOR";"OR";"AND";"NAND";"";"";"gal_electric_digital"
"Que porta lóxica se constrúe con este circuíto?";"images/electric-transistorAnd.png";"320";"AND";"NAND";"OR";"XOR";"";"";"gal_electric_digital"
"Que porta lóxica se constrúe con este circuíto?";"images/electric-transistorNand.png";"320";"NAND";"AND";"XAND";"OR";"";"";"gal_electric_digital"
"Que porta lóxica se constrúe con este circuíto?";"images/electric-transistorOr.png";"320";"OR";"AND";"NOR";"NAND";"";"";"gal_electric_digital"
"Que porta lóxica se constrúe con este circuíto?";"images/electric-transistorNot.png";"320";"NOT";"NOR";"AND";"OR";"";"";"gal_electric_digital"
"Que función lóxica se corresponde con esta táboa de verdade?";"images/electric-taboaNot.png";"271";"NOT";"OR";"AND";"NOR";"";"";"gal_electric_digital"
"Que función lóxica se corresponde con esta táboa de verdade?";"images/electric-taboaOr.png";"237";"OR";"AND";"NOR";"NOT";"";"";"gal_electric_digital"
"Que función lóxica se corresponde con esta táboa de verdade?";"images/electric-taboaAnd.png";"237";"AND";"OR";"NOR";"XOR";"";"";"gal_electric_digital"
"Que función lóxica se corresponde con esta táboa de verdade?";"images/electric-taboaNor.png";"237";"NOR";"XNOR";"OR";"NOT";"";"";"gal_electric_digital"
"Que función lóxica se corresponde con esta táboa de verdade?";"images/electric-taboaNand.png";"386";"NAND";"Ningunha";"AND";"XOR";"";"";"gal_electric_digital"
"Que función lóxica se corresponde con esta táboa de verdade?";"images/electric-taboaXor.png";"235";"XOR";"XNOR";"OR";"NAND";"";"";"gal_electric_digital"
"Que función lóxica se corresponde con esta táboa de verdade?";"images/electric-taboaXnor.png";"235";"XNOR";"Ningunha";"NAND";"XOR";"";"";"gal_electric_digital"
"Que función lóxica se corresponde con esta táboa de verdade?";"images/electric-taboaTricky.png";"235";"Ningunha";"XOR";"NOT";"AND";"";"";"gal_electric_digital"
"Que función lóxica se constrúe con este circuíto de portas NAND?";"images/electric-nandNot.png";"320";"NOT";"AND";"NAND";"IF";"";"";"gal_electric_digital"
"Que función lóxica se constrúe con este circuíto de portas NAND?";"images/electric-nandOr.png";"480";"OR";"NOR";"AND";"XOR";"";"";"gal_electric_digital"
"Que función lóxica se constrúe con este circuíto de portas NAND?";"images/electric-nandAnd.png";"480";"AND";"NOT";"XOR";"OR";"";"";"gal_electric_digital"
"Que función lóxica se constrúe con este circuíto de portas NAND?";"images/electric-nandNor.png";"480";"NOR";"NOT";"XOR";"XNOR";"";"";"gal_electric_digital"
"Que función lóxica se constrúe con este circuíto de portas NAND?";"images/electric-nandXor.png";"480";"XOR";"XNOR";"NOR";"AND";"";"";"gal_electric_digital"
"Que función lóxica se constrúe con este circuíto de portas NAND?";"images/electric-nandXnor.png";"480";"XNOR";"XOR";"NOR";"NOT";"";"";"gal_electric_digital"
