Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué avance tecnológico marcó la barrera entre la prehistoria y la historia?";"";"";"La invención de la escritura.";"La invención de la rueda.";"El desarrollo de la alfarería.";"El descubrimiento del fuego.";"";"";"es-historia-tecnologia-antigua"
"¿Qué innovación tecnológica permitió la transmisión del saber y la formación de trabajadores especializados en la Edad Antigua?";"";"";"Alfabeto y escritura.";"Invención de la palanca.";"Desarrollo de la agricultura.";"Creación del comercio.";"";"";"es-historia-tecnologia-antigua"
"¿Cómo influyó el crecimiento de las ciudades en el desarrollo del comercio en la Edad Antigua?";"";"";"Impulsó la necesidad de intercambio de productos y el comercio.";"Disminuyó la necesidad de intercambio de productos.";"Aumentó la caza y la pesca en los alrededores.";"Fomentó solo el comercio local de proximidad.";"";"";"es-historia-tecnologia-antigua"
"¿Cuál es uno de los nuevos materiales que aparecieron en la Edad Antigua debido a la búsqueda de soportes para la información escrita?";"";"";"El papiro y el pergamino.";"El hierro.";"La arcilla.";"La madera.";"";"";"es-historia-tecnologia-antigua"
"En la Edad Antigua los poblados neolíticos crecen y se convierten en las primeras ciudades, surgidas alrededor de...";"";"";"El Mediterráneo y Oriente Medio.";"África subsahariana.";"Europa del norte.";"El lejano Oriente (China).";"";"";"es-historia-tecnologia-antigua"
"En la Edad Antigua se forman los primeros estados e imperios como son ...";"";"";"Babilonia y Egipto.";"Babilonia y el imperio Inca.";"Solo el imperio Griego.";"Solo el imperio Romano.";"";"";"es-historia-tecnologia-antigua"
"La necesidad de comunicaciones a distancia en la Edad Antigua fomenta la creación de...";"";"";"El correo.";"El teléfono.";"El telégrafo.";"La imprenta.";"";"";"es-historia-tecnologia-antigua"
"Con el desarrollo del comercio en la Edad Antigua se impulsa enormemente...";"";"";"El transporte por tierra y mar.";"El correo.";"La creación de ejércitos.";"La deforestación de los bosques.";"";"";"es-historia-tecnologia-antigua"
"¿Qué avance desarrolló el Imperio Romano para facilitar el transporte terrestre?";"";"";"La creación de calzadas por todo el imperio.";"El desarrollo de nuevos barcos y rutas marítimas.";"La invención de la rueda aplicada al transporte.";"El desarrollo de metales.";"";"";"es-historia-tecnologia-antigua"
"¿Qué metales se utilizaban en la Edad Antigua y facilitaron la fabricación de herramientas y armas militares?";"";"";"Hierro, cobre y bronce.";"Hierro y aluminio.";"Aluminio, cobre y bronce.";"Bronce, litio y magnesio";"";"";"es-historia-tecnologia-antigua"
"¿Qué máquinas simples permiten desarrollar grandes obras de arquitectura y de obra civil en la Edad Antigua?";"";"";"La palanca, la polea y el plano inclinado.";"Los engranajes, el tornillo y la palanca.";"La rueda, los engranajes y el tornillo.";"La polea, el plano inclinado y los pistones.";"";"";"es-historia-tecnologia-antigua"
"¿Qué impacto ambiental producen los grandes núcleos de población de la Edad Antigua?";"";"";"Sobreexplotación de recursos y deforestación.";"Crecimiento de nuevos bosques y desarrollo de las especies animales y vegetales.";"Sobreexplotación de recursos, pero sin efectos sobre fauna y flora.";"Deforestación muy limitada al entorno de las ciudades más grandes.";"";"";"es-historia-tecnologia-antigua"
"¿Cuándo comienza la Edad Media?";"";"";"En el siglo V d.C. con la caída del Imperio Romano de Occidente.";"En el siglo V a.C. con la caída del Imperio Romano de Occidente.";"En 1492 con el descubrimiento de América.";"En el siglo XI con la creación de universidades y escuelas catedralicias.";"";"";"es-historia-tecnologia-antigua"
"¿Qué cultura de oriente se encarga de reintroducir en Europa la cultura clásica en la Edad Media?";"";"";"Los Árabes.";"Los Chinos.";"Los Incas.";"Los Persas.";"";"";"es-historia-tecnologia-antigua"
