Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál es la función de los periféricos de entrada de un ordenador?";"";"";"Recoger información del exterior.";"Exteriorizar la información del ordenador.";"Procesar información en el ordenador.";"Almacenar información en el ordenador.";"";"";"es-hardware-perifericos-3"
"¿Cómo puede 'ver' un ordenador?";"";"";"Con una cámara.";"Con un monitor.";"Con un micrófono.";"Con un ratón.";"";"";"es-hardware-perifericos-3"
"¿Cuál es la función de los periféricos de salida en un ordenador?";"";"";"Exteriorizar la información del ordenador.";"Recoger información del exterior.";"Procesar información en el ordenador.";"Almacenar información en el ordenador.";"";"";"es-hardware-perifericos-3"
"¿Qué dispositivo se utiliza para ver la información del ordenador en forma de imágenes?";"";"";"Un monitor.";"Una impresora.";"Un altavoz.";"Un smartphone.";"";"";"es-hardware-perifericos-3"
"¿Qué es un ratón en informática?";"";"";"Un dispositivo que se utiliza para manejar con una mano un puntero en un entorno gráfico de ordenador.";"Una herramienta utilizada para imprimir documentos.";"Un dispositivo que permite escuchar música en el ordenador.";"Un tipo de teclado especial para videojuegos.";"";"";"es-hardware-perifericos-3"
"¿Cómo detecta el ratón los movimientos en el entorno gráfico?";"";"";"Detecta los movimientos en dos dimensiones sobre una superficie plana en la que se apoya.";"Detecta los movimientos mediante un escáner de huellas digitales.";"Detecta los movimientos mediante un micrófono.";"Detecta los movimientos mediante una cámara de reconocimiento facial.";"";"";"es-hardware-perifericos-3"
"¿Para qué sirve la rueda que tiene el ratón?";"";"";"Para interactuar con las pantallas del entorno gráfico.";"Para imprimir documentos.";"Para escuchar música en el ordenador.";"Para escribir documentos en el procesador de texto.";"";"";"es-hardware-perifericos-3"
"¿Qué es el puntero o flecha en la pantalla del ordenador?";"";"";"Es un puntero que muestra los movimientos del ratón.";"Es una herramienta para imprimir documentos.";"Es un tipo de teclado especial para videojuegos.";"Es un dispositivo para escuchar música en el ordenador.";"";"";"es-hardware-perifericos-3"
"¿Qué alternativas han aparecido al ratón en informática?";"";"";"La pantalla táctil.";"El escáner de huellas digitales.";"El micrófono.";"La cámara de reconocimiento facial.";"";"";"es-hardware-perifericos-3"
"¿Qué es el teclado de un ordenador?";"";"";"Es uno de los primeros dispositivos de entrada inspirado en las máquinas de escribir.";"Es un dispositivo que permite visualizar imágenes en un monitor.";"Es un dispositivo que permite escuchar sonidos a través de altavoces.";"Es un dispositivo que permite desplazarse por una página web.";"";"";"es-hardware-perifericos-3"
"¿Para qué se utiliza el teclado en un ordenador?";"";"";"Para escribir texto en el ordenador.";"Para controlar el puntero en la pantalla.";"Para escuchar sonidos a través de altavoces.";"Para interactuar con las pantallas táctiles.";"";"";"es-hardware-perifericos-3"
"¿Cuántas teclas tiene el teclado estándar de ordenador personal en Europa?";"";"";"102 teclas.";"82 teclas.";"112 teclas.";"92 teclas.";"";"";"es-hardware-perifericos-3"
"¿Qué teclas encontramos en el bloque especial del teclado?";"";"";"Teclas de dirección y otras como inicio, fin, suprimir, insertar, imprimir pantalla, etc.";"Teclas numéricas y operaciones básicas.";"Teclas de función F1 a F12.";"Teclas alfanuméricas con números del 0 al 9, letras y algunas teclas especiales.";"";"";"es-hardware-perifericos-3"
"¿Qué es el bloque numérico del teclado?";"";"";"Es un bloque a la derecha con los números y las operaciones básicas.";"Es un bloque de funciones F1 a F12.";"Es un bloque alfanumérico con números del 0 al 9, letras y algunas teclas especiales.";"Es un bloque especial con teclas de dirección y otras como inicio, fin, suprimir, insertar, imprimir pantalla, etc.";"";"";"es-hardware-perifericos-3"
"¿Qué tipo de periférico es un escáner?";"";"";"Periférico de entrada.";"Periférico de salida.";"Periférico de almacenamiento.";"Periférico de procesamiento.";"";"";"es-hardware-perifericos-3"
"¿Para qué se utiliza un escáner?";"";"";"Realizar fotografías digitales de documentos, diapositivas o transparencias.";"Imprimir documentos en papel.";"Reproducir sonido en el ordenador.";"Navegar por internet.";"";"";"es-hardware-perifericos-3"
"¿Cuál es la resolución mínima recomendada para escanear un documento?";"";"";"150 dpi.";"75 dpi.";"300 dpi.";"600 dpi.";"";"";"es-hardware-perifericos-3"
"¿Qué técnica se puede combinar con los escáneres para transformar un texto en formato imagen a un texto digitalizado?";"";"";"OCR o Reconocimiento Óptico de Caracteres.";"GPS o Sistema de Posicionamiento Global.";"HDMI o Interfaz Multimedia de Alta Definición.";"USB o Bus Universal en Serie.";"";"";"es-hardware-perifericos-3"
"¿Qué ventaja tiene utilizar OCR con un escáner?";"";"";"Transformar un texto de formato imagen a un texto digitalizado.";"Imprimir documentos de forma más rápida.";"Escanear documentos con mayor resolución.";"Reducir el tamaño de los archivos generados por el escáner.";"";"";"es-hardware-perifericos-3"
"¿Qué es una cámara web?";"";"";"Una pequeña cámara digital conectada al ordenador.";"Un dispositivo de almacenamiento de datos.";"Un periférico de salida de datos.";"Un programa informático de edición de vídeo.";"";"";"es-hardware-perifericos-3"
"¿Para qué se utiliza una cámara web?";"";"";"Capturar imágenes fijas y vídeo para transmitirlos a distancia por internet.";"Almacenar información en el ordenador.";"Realizar operaciones matemáticas complejas.";"Imprimir documentos en papel.";"";"";"es-hardware-perifericos-3"
"¿Qué ha popularizado el uso de la videoconferencia?";"";"";"Los confinamientos en 2020 debido a la pandemia de COVID.";"La falta de recursos informáticos.";"El deseo de las personas de socializar más.";"La escasez de servicios de comunicación telefónica.";"";"";"es-hardware-perifericos-3"
"¿Qué servicios se utilizan para realizar videoconferencias?";"";"";"Zoom, WhatsApp, Microsoft Teams, Google Meet, Skype, Webex, etc.";"Facebook, Instagram, Twitter, Snapchat.";"YouTube, Netflix, Amazon Prime Video.";"Spotify, Apple Music, Tidal.";"";"";"es-hardware-perifericos-3"
"¿Cuál es la ventaja de una cámara web para las reuniones virtuales?";"";"";"Permite la comunicación visual en tiempo real entre los participantes.";"Permite la transferencia de archivos grandes.";"Reduce la necesidad de conexión a Internet.";"Aumenta la privacidad de los participantes.";"";"";"es-hardware-perifericos-3"
"¿Qué es el micrófono?";"";"";"Un dispositivo que recoge el sonido del ambiente y lo traduce a señales eléctricas.";"Un dispositivo que proyecta el sonido a través de altavoces.";"Un dispositivo que proyecta la imagen a través de una pantalla.";"Un dispositivo que almacena información digital.";"";"";"es-hardware-perifericos-3"
"¿Qué es la tarjeta de sonido?";"";"";"Un dispositivo que traduce las señales eléctricas del micrófono a señales digitales.";"Un dispositivo que amplifica las señales eléctricas del micrófono.";"Un dispositivo que graba y reproduce el sonido.";"Un dispositivo que convierte las señales digitales a señales analógicas.";"";"";"es-hardware-perifericos-3"
"Los micrófonos incluidos en los dispositivos móviles suelen tener...";"";"";"Conversor analógico-digital para convertir las señales eléctricas que salen del micrófono a señales digitales.";"Mayor calidad que los micrófonos y tarjetas de sonido dedicados.";"Tecnología de micrófono dinámico.";"Menor sensibilidad que los micrófonos y tarjetas de sonido dedicados.";"";"";"es-hardware-perifericos-3"
"¿Qué ventaja tiene el uso de micrófono y tarjeta de sonido dedicados en lugar de los micrófonos integrados en otros dispositivos?";"";"";"Mayor calidad de sonido.";"Mayor facilidad de uso.";"Menor precio.";"Mayor portabilidad.";"";"";"es-hardware-perifericos-3"
