Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué es un bit?";"";"";"Es la unidad mínima de información y equivale a un dígito binario que puede valer 0 ó 1.";"Es la unidad mínima de información y equivale a un dígito binario que puede valer de 0 a 9.";"Una palabra que puede tener un número variable de datos dependiendo del sistema informático con el que estemos tratando.";"Ninguna de las anteriores.";"";"";"es-hardware-unidades-2"
"¿Cuántos bits forman un byte?";"";"";"8 bits.";"4 bit.";"16 bits.";"32 bits.";"";"";"es-hardware-unidades-2"
"¿Cuántos valores puede tomar un byte?";"";"";"256 valores entre 0 y 255.";"257 valores entre 0 y 256.";"10 valores entre 0 y 9.";"128 valores entre 0 y 127.";"";"";"es-hardware-unidades-2"
"¿Qué es una palabra?";"";"";"Un conjunto de entre 16 y 128 bits, dependiendo del sistema informático.";"Un conjunto de entre 32 y 64 bits, dependiendo del sistema informático.";"Es un conjunto de 16 bits.";"Es un conjunto de 32 bits.";"";"";"es-hardware-unidades-2"
"¿Cuál es la unidad de medida de la velocidad de transporte?";"";"";"Bit/s.";"Byte/s.";"Megabyte.";"Kilobyte.";"";"";"es-hardware-unidades-2"
"¿Cuántos bytes se transmiten por segundo si la velocidad es de 8000 bits/s?";"";"";"1000 bytes.";"8000 bytes.";"64000 bytes.";"1000 bits.";"";"";"es-hardware-unidades-2"
"¿Qué prefijo del Sistema Internacional de Unidades representa una cantidad de 1 000?";"";"";"Kilo-.";"Mega-.";"Giga-.";"Peta-.";"";"";"es-hardware-unidades-2"
"¿Qué prefijo del Sistema Internacional de Unidades representa una cantidad de 1 000 000?";"";"";"Mega-.";"Kilo-.";"Giga-.";"Peta-.";"";"";"es-hardware-unidades-2"
"¿Qué prefijo del Sistema Internacional de Unidades representa una cantidad de 1 000 000 000?";"";"";"Giga-.";"Mega-.";"Tera-.";"Kilo-.";"";"";"es-hardware-unidades-2"
"¿Qué prefijo del Sistema Internacional de Unidades representa una cantidad de 1 000 000 000 000?";"";"";"Tera-.";"Mega-.";"Giga-.";"Peta-.";"";"";"es-hardware-unidades-2"
"¿Cuál es el valor para el prefijo kilo- en el Sistema Internacional de Unidades?";"";"";"10^3.";"10^6.";"10^9.";"10^12.";"";"";"es-hardware-unidades-2"
"¿Cuál es el valor para el prefijo Mega- en el Sistema Internacional de Unidades?";"";"";"10^6.";"10^3.";"10^9.";"10^12.";"";"";"es-hardware-unidades-2"
"¿Cuál es el valor para el prefijo Giga- en el Sistema Internacional de Unidades?";"";"";"10^9.";"10^3.";"10^6.";"10^12.";"";"";"es-hardware-unidades-2"
"¿Cuál es el valor para el prefijo Tera- en el Sistema Internacional de Unidades?";"";"";"10^12.";"10^9.";"10^15.";"10^6.";"";"";"es-hardware-unidades-2"
"¿Cuál es el valor para el prefijo Peta- en el Sistema Internacional de Unidades?";"";"";"10^15.";"10^18.";"10^12.";"10^9.";"";"";"es-hardware-unidades-2"
"¿Cuál es el valor para el prefijo Exa- en el Sistema Internacional de Unidades?";"";"";"10^18.";"10^15.";"10^12.";"10^9.";"";"";"es-hardware-unidades-2"
"¿Cuánto espacio puede ocupar un mensaje de texto?";"";"";"Algunas decenas de bytes.";"Alrededor de 10 kilobytes.";"Alrededor de 10 megabytes.";"Alrededor de 10 gigabytes.";"";"";"es-hardware-unidades-2"
"¿Qué velocidad de conexión necesita una conexión de audio a través de Whatsapp para funcionar?";"";"";"Unos 60 kilobit/s";"Unos 6 kilobit/s";"Unos 600 kilobit/s";"Unos 6 megabit/s";"";"";"es-hardware-unidades-2"
"¿Qué tamaño tienen normalmente las fotografías o canciones en formato mp3?";"";"";"Unos cientos de kilobytes a pocos megabytes.";"De pocos megabytes a cientos de megabytes.";"Alrededor de 1 gigabyte.";"Alrededor de 100 megabytes.";"";"";"es-hardware-unidades-2"
"¿Qué velocidad de conexión suele tener una conexión a internet por fibra óptica?";"";"";"De 100 a 300 megabit/s.";"De 1 a 3 gigabit/s.";"De 10 a 30 megabit/s.";"De 10 a 30 gigabit/s.";"";"";"es-hardware-unidades-2"
"¿Cuál es la velocidad de conexión típica por Ethernet con el router?";"";"";"De 100 megabit/s a 1 gigabit/s.";"De 10 megabit/s a 100 megabit/s.";"De 1 gigabit/s a 10 gigabit/s.";"De 10 gigabit/s a 100 gigabit/s.";"";"";"es-hardware-unidades-2"
"¿Cuánto espacio ocupa una película en DVD?";"";"";"De 4 a 8 gigabytes.";"De 8 a 32 gigabytes.";"De 1 a 2 gigabytes.";"De 4 a 8 terabytes.";"";"";"es-hardware-unidades-2"
"¿Cuál es la capacidad típica de un disco duro?";"";"";"Pocos terabytes.";"Pocos gigabytes.";"Pocos petabytes.";"Pocos megabytes.";"";"";"es-hardware-unidades-2"
"¿Cuánta memoria puede alcanzar un cluster de ordenadores?";"";"";"Varios petabytes.";"Varios terabytes.";"Varios exabytes.";"Varios gigabytes.";"";"";"es-hardware-unidades-2"
"¿Cuál era la capacidad de almacenamiento total de internet en 2020?";"";"";"Unos 2000 exabytes.";"Unos 1000 exabytes.";"Unos 500 exabytes.";"Unos 2000 petabytes.";"";"";"es-hardware-unidades-2"
