Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Para qué sirven los conectores de los cables?";"";"";"Unir eléctricamente los cables con los ordenadores y con el resto de periféricos.";"Conectar los cables a la red eléctrica.";"Conectar los cables a dispositivos de audio y vídeo.";"Ninguna de las anteriores.";"";"";"es-hardware-comunicaciones-3"
"¿Qué tipo de conector tienen los cables?";"";"";"Conector macho.";"Conector hembra.";"Conector USB.";"Conector Ethernet.";"";"";"es-hardware-comunicaciones-3"
"¿Por qué se elige la clavija macho para el cable y la clavija hembra para el equipo?";"";"";"Porque los pines macho de los cables se pueden romper y es más barato reemplazar un cable que reemplazar un equipo.";"Porque los pines hembra de los cables se pueden romper o doblar con mayor facilidad que los agujeros macho de los equipos.";"Porque los conectores macho son más baratos que los hembra.";"Porque los conectores macho son más resistentes que los hembra.";"";"";"es-hardware-comunicaciones-3"
"¿Qué es un bus de placa base?";"";"";"Son las pistas del circuito impreso que llevan los datos entre la CPU y el resto de los dispositivos conectados a la placa base.";"Son cables que se conectan a dispositivos de almacenamiento externos.";"Son los conectores internos de la placa base que sirven para conectar tarjetas de expansión al ordenador.";"Ninguna de las anteriores.";"";"";"es-hardware-comunicaciones-3"
"¿Cuál es el medio de transmisión más rápido entre la CPU y el resto de los dispositivos conectados a la placa base?";"";"";"Bus de placa base.";"Conectores USB.";"Conectores SATA.";"Conectores PCI-E.";"";"";"es-hardware-comunicaciones-3"
"¿Qué es el bus serial ATA?";"";"";"Es un bus que sirve para conectar unidades de memoria secundaria del ordenador.";"Es un bus que sirve para conectar pendrives por USB.";"Es un tipo de memoria RAM de doble canal.";"Es un bus que sirve para conectar sonido digital.";"";"";"es-hardware-comunicaciones-3"
"¿Qué conecta el bus SATA?";"";"";"Las unidades de almacenamiento secundario con la placa base.";"Los dispositivos de entrada del ordenador con la placa base.";"Las tarjetas de expansión a la placa base.";"Las señales de vídeo con los monitores o proyectores.";"";"";"es-hardware-comunicaciones-3"
"¿Qué longitud puede tener el cable en el bus SATA?";"";"";"Hasta un metro.";"Hasta medio metro.";"Hasta dos metros.";"No hay una longitud máxima.";"";"";"es-hardware-comunicaciones-3"
"¿Qué es PCI Express?";"";"";"Un tipo de conector de la placa base para conectar tarjetas de expansión.";"Un tipo de conector de la placa base para conectar memoria RAM.";"Un tipo de conector SATA.";"Un tipo de conector HDMI.";"";"";"es-hardware-comunicaciones-3"
"¿Cuál es la velocidad de transferencia del PCI-E 6.0 en su conector x16?";"";"";"126 GB/s";"7.9 GB/s";"63 GB/s";"3.9 GB/s";"";"";"es-hardware-comunicaciones-3"
"¿Para qué se utiliza el conector M.2?";"";"";"Para conectar unidades SSD a gran velocidad.";"Para conectar tarjetas gráficas a la placa base.";"Para conectar dispositivos de almacenamiento ópticos.";"Para conectar vídeo de alta velocidad.";"";"";"es-hardware-comunicaciones-3"
