Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuándo comienza la Edad Moderna?";"";"";"En 1492 con el descubrimiento de América.";"En 1592 con el descubrimiento de América.";"En el siglo V con la caída del Imperio Romano de Occidente.";"En 1789 con la Revolución Francesa.";"";"";"es-historia-tecnologia-moderna"
"¿Cuándo termina la Edad Moderna?";"";"";"En 1789 con la Revolución Francesa.";"En 1889 con la Revolución Francesa.";"En 1492 con el descubrimiento de América.";"En el siglo V con la caída del Imperio Romano de Occidente.";"";"";"es-historia-tecnologia-moderna"
"¿Qué cambio en el sistema económico ocurrió con el crecimiento de las ciudades durante la Edad Moderna?";"";"";"Surgieron los primeros indicios del sistema capitalista.";"La economía feudal se fortaleció gracias al aumento del comercio.";"Se mantuvo el sistema económico feudal.";"Se implementó un sistema comunista.";"";"";"es-historia-tecnologia-moderna"
"¿Por qué fue necesario buscar nuevas tierras durante la Edad Moderna?";"";"";"Para conseguir materias primas.";"Para establecer colonias en otros continentes.";"Para escapar de las epidemias.";"Para reducir la población en las ciudades.";"";"";"es-historia-tecnologia-moderna"
"¿Cómo se consiguió abrir nuevos mercados en la Edad Moderna?";"";"";"Gracias al descubrimiento y colonización de nuevas tierras.";"Gracias al aumento de población en las ciudades.";"Gracias a la disminución de la población debido a las epidemias.";"Gracias al descubrimiento de nuevos yacimientos de materias primas.";"";"";"es-historia-tecnologia-moderna"
"¿Cuáles de las siguientes innovaciones tecnológicas destacaron en la Edad Moderna?";"";"";"La brújula, la cartografía y las armas de fuego.";"El ferrocarril, la imprenta y el barco a vapor.";"El teléfono, la televisión y el avión.";"El papel, los mapas y el telescopio.";"";"";"es-historia-tecnologia-moderna"
"¿Qué importancia tuvieron los nuevos mercados en la Edad Moderna?";"";"";"Los nuevos mercados contribuyeron a la apertura de oportunidades económicas.";"Los nuevos mercados no tenían relevancia.";"Los nuevos mercados permitieron el comercio local.";"Los nuevos mercados causaron la disminución de la producción.";"";"";"es-historia-tecnologia-moderna"
"¿Qué caracteriza a la sociedad durante la Edad Moderna?";"";"";"Un crecimiento de las ciudades y estados en expansión.";"Un predominio de la economía agraria.";"Un enfoque en la vida rural.";"Un énfasis en la vida monástica.";"";"";"es-historia-tecnologia-moderna"
"¿En qué se basaba principalmente la riqueza durante la Edad Moderna?";"";"";"El comercio.";"La posesión de tierras.";"La religión.";"La conquista militar.";"";"";"es-historia-tecnologia-moderna"
"¿Qué permitió la expansión de los territorios dominados por los estados europeos durante la Edad Moderna?";"";"";"Avances en transporte y comunicaciones.";"La falta de resistencia de las poblaciones locales.";"La magia y la brujería.";"La intervención de dioses y seres mitológicos.";"";"";"es-historia-tecnologia-moderna"
"¿Cómo se diferenciaba la sociedad capitalista de la Edad Moderna de la sociedad de la Edad Media?";"";"";"La sociedad capitalista se basaba más en el comercio que en la posesión de tierras.";"La sociedad capitalista se basaba más en la posesión de tierras que en el comercio.";"La sociedad capitalista enfatizaba la vida rural.";"La sociedad medieval era predominantemente urbana.";"La sociedad medieval se caracterizaba por la igualdad económica.";"";"es-historia-tecnologia-moderna"
"¿Qué revolución en las comunicaciones fue posible gracias a la invención de la imprenta durante la Edad Moderna?";"";"";"La capacidad de fabricar libros en grandes cantidades.";"La capacidad de enviar información a grandes distancias.";"El desarrollo de las telecomunicaciones.";"La invención del telégrafo eléctrico.";"";"";"es-historia-tecnologia-moderna"
"¿Cuál fue el impacto de la invención de la brújula en la Edad Media?";"";"";"Facilitó la navegación a larga distancia.";"Facilitó el desarrollo de la agricultura.";"Permitió la creación de computadoras.";"Fomentó la escritura a mano.";"";"";"es-historia-tecnologia-moderna"
"¿Qué tipo de embarcaciones permitieron a los europeos conquistar América y más tarde Oceanía durante la Edad Moderna?";"";"";"Galeones y carabelas.";"Submarinos y portaaviones.";"Lanchas y canoas.";"Botes de remo y catamaranes.";"";"";"es-historia-tecnologia-moderna"
"¿Qué demandaba la sociedad capitalista que se estaba desarrollando en las ciudades durante la Edad Moderna?";"";"";"Aparatos y máquinas más precisos y rentables.";"Mayor producción de alimentos para toda la población.";"Más obras de arte.";"Menor innovación tecnológica.";"";"";"es-historia-tecnologia-moderna"
"¿Cuál de las siguientes invenciones contribuyó a hacer más precisos y rentables los aparatos y máquinas durante la Edad Moderna?";"";"";"El microscopio, los telares y el torno para roscar.";"La televisión a color y el teléfono inteligente.";"Las tarjetas de crédito y los telares.";"La fabricación de libros en grandes cantidades a bajo precio.";"";"";"es-historia-tecnologia-moderna"
