Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué es el software?";"";"";"El conjunto de programas y datos de un sistema informático.";"El hardware de un sistema informático.";"Los dispositivos físicos de entrada y salida de un sistema informático.";"Ninguna de las anteriores.";"";"";"es-software-intro-2"
"¿Cuál es la diferencia entre programas y archivos de datos?";"";"";"Los programas son secuencias de instrucciones, mientras que los archivos de datos contienen información para que los programas realicen sus funciones.";"Los programas son dispositivos físicos, mientras que los archivos de datos son intangibles.";"Los programas son archivos de texto, mientras que los archivos de datos son archivos multimedia.";"Ninguna de las anteriores.";"";"";"es-software-intro-2"
"¿Quiénes suelen escribir los programas?";"";"";"Programadores profesionales.";"Los usuarios finales de los programas.";"Los fabricantes de los ordenadores.";"Ninguna de las anteriores.";"";"";"es-software-intro-2"
"¿Qué es el código fuente?";"";"";"El conjunto de instrucciones escritas por los programadores profesionales.";"Los archivos de datos que contienen la información necesaria para que los programas realicen sus funciones.";"Los programas ejecutables por los ordenadores.";"Ninguna de las anteriores.";"";"";"es-software-intro-2"
"¿Qué es un archivo ejecutable?";"";"";"El código fuente convertido en un formato comprensible por los ordenadores.";"Un archivo de datos que contiene información necesaria para que los programas realicen sus funciones.";"Un archivo de texto que contiene las instrucciones para el programa.";"Ninguna de las anteriores.";"";"";"es-software-intro-2"
"¿Qué ejemplos de programas se mencionan en el texto?";"";"";"Editores de texto, apps de mensajería electrónica, videojuegos y navegadores de internet.";"Archivos de datos como documentos PDF, imágenes JPG, presentaciones de Powerpoint PPTX, texto de un mensaje, página web HTML y canciones MP3.";"Programas que permiten manejar archivos de datos.";"Ninguna de las anteriores.";"";"";"es-software-intro-2"
"¿Qué son los archivos de datos?";"";"";"Archivos que contienen la información necesaria para que los programas realicen sus funciones.";"Archivos ejecutables que realizan una tarea específica en el ordenador.";"Dispositivos físicos que se conectan al ordenador.";"Ninguna de las anteriores.";"";"";"es-software-intro-2"
"¿Qué necesitan los archivos de datos para ser representados en pantalla o modificados?";"";"";"Un programa o aplicación que los maneje.";"Un programa que los convierta en código fuente.";"Un dispositivo de entrada como un teclado o ratón.";"Ninguna de las anteriores.";"";"";"es-software-intro-2"
"¿Qué es un documento PDF?";"";"";"Un archivo de datos que contiene información necesaria para que los programas realicen sus funciones.";"Un archivo ejecutable que realiza una tarea específica en el ordenador.";"Un formato de archivo utilizado para representar documentos de forma independiente del software, el hardware y el sistema operativo utilizado para crearlos.";"Ninguna de las anteriores.";"";"";"es-software-intro-2"
"¿Qué es un archivo JPG?";"";"";"Un archivo de datos que contiene información necesaria para que los programas realicen sus funciones.";"Un archivo ejecutable que realiza una tarea específica en el ordenador.";"Un formato de archivo utilizado para comprimir imágenes.";"Ninguna de las anteriores.";"";"";"es-software-intro-2"
"¿Qué son los sistemas operativos?";"";"";"Los programas que inician los ordenadores y que gestionan todos sus recursos.";"Los programas que sirven para crear el resto de los programas.";"Los archivos de datos que contienen la información necesaria para que los programas realicen sus funciones.";"Los programas que se encargan de editar texto y otros tipos de documentos.";"";"";"es-software-intro-2"
"¿Cuáles son algunos ejemplos de sistemas operativos?";"";"";"Microsoft Windows, Apple macOS, GNU/Linux, Apple iOS y Google Android.";"Microsoft Office, Adobe Creative Suite, VLC Media Player, QuickTime y WinRAR.";"PHP, Python, C, Java y JavaScript.";"Eclipse, Visual Studio Code, Notepad++ y Vim.";"";"";"es-software-intro-2"
"¿Qué es el software de programación?";"";"";"El software que se utiliza para crear el resto de los programas.";"El software que inicia los ordenadores y que gestiona todos sus recursos.";"El conjunto de programas y datos de un sistema informático.";"Los archivos de datos que contienen la información necesaria para que los programas realicen sus funciones.";"";"";"es-software-intro-2"
"¿Qué es el código fuente?";"";"";"La secuencia de instrucciones escritas para realizar una tarea específica en un ordenador.";"El archivo ejecutable, comprensible por los ordenadores.";"La información necesaria para que los programas realicen sus funciones.";"Las aplicaciones o sistemas operativos que instalamos en nuestros ordenadores.";"";"";"es-software-intro-2"
"¿Qué lenguaje de programación se utiliza para crear los sistemas operativos, navegadores y ofimática?";"";"";"El lenguaje C.";"El lenguaje Java.";"El lenguaje PHP.";"El lenguaje Python.";"";"";"es-software-intro-2"
"¿Qué lenguaje de programación se utiliza para crear las aplicaciones en Android?";"";"";"El lenguaje Java.";"El lenguaje C.";"El lenguaje PHP.";"El lenguaje Python.";"";"";"es-software-intro-2"
"¿Qué son los lenguajes de programación interpretados?";"";"";"Lenguajes que no se compilan sino que se interpretan a medida que se necesita.";"Lenguajes que se compilan para generar un programa o aplicación que instalamos en nuestros ordenadores.";"Lenguajes utilizados para crear los programas que vemos en internet, como YouTube, Instagram, Gmail, etc.";"Editores de código que ayudan al programador a la hora de escribir programas.";"";"";"es-software-intro-2"
