Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál es una clave importante para lograr el desarrollo sostenible según el texto?";"";"";"La eficiencia energética y el ahorro de energía.";"El aumento del despilfarro de recursos naturales.";"La compra de productos con grandes envases.";"La utilización del transporte público.";"";"";"es-tecnology-objects-2"
"¿Qué se menciona como una medida importante para lograr el desarrollo sostenible?";"";"";"El reciclaje de los residuos.";"El aumento del consumo de energía.";"La compra de productos innecesarios.";"La utilización constante de la calefacción y el aire acondicionado.";"";"";"es-tecnology-objects-2"
"Según el texto, ¿qué se debe investigar y potenciar para lograr el desarrollo sostenible?";"";"";"Las energías renovables.";"El despilfarro de recursos naturales.";"La compra de electrodomésticos de alto consumo.";"El uso excesivo del coche privado.";"";"";"es-tecnology-objects-2"
"¿Qué es importante para lograr el desarrollo sostenible según el texto?";"";"";"La concienciación de la población.";"Ignorar por completo la cuestión medioambiental.";"Aumentar el daño medioambiental.";"La adquisición de productos innecesarios.";"";"";"es-tecnology-objects-2"
"¿Qué pueden hacer los poderes públicos según el texto para lograr el desarrollo sostenible?";"";"";"Adoptar medidas que favorezcan el medio ambiente.";"Ignorar completamente la cuestión medioambiental.";"Promover el aumento del despilfarro de recursos naturales.";"Sancionar a la población por conductas medioambientales.";"";"";"es-tecnology-objects-2"
"¿Por qué se menciona la economía globalizada en relación con el desarrollo sostenible?";"";"";"Porque los esfuerzos de un solo estado pueden tener resultados limitados si otros no actúan.";"Porque la economía globalizada no afecta al desarrollo sostenible.";"Porque la cuestión medioambiental es irrelevante en una economía globalizada.";"Porque un solo estado puede lograr el desarrollo sostenible sin la cooperación de otros.";"";"";"es-tecnology-objects-2"
"¿Qué se recomienda en el texto como una acción para contribuir al desarrollo sostenible?";"";"";"No adquirir productos innecesarios con grandes envases.";"Aumentar el uso constante de la calefacción y el aire acondicionado.";"Utilizar el coche privado en lugar del transporte público.";"Dejar grifos abiertos y luces encendidas todo el tiempo.";"";"";"es-tecnology-objects-2"
"¿Qué significa la eficiencia energética según el texto?";"";"";"El ahorro de energía para evitar el despilfarro de recursos naturales.";"El aumento del despilfarro de recursos naturales.";"El uso constante de la calefacción y el aire acondicionado.";"La compra de productos innecesarios.";"";"";"es-tecnology-objects-2"
"¿Qué tipo de productos se menciona en el texto como poco recomendados para lograr el desarrollo sostenible?";"";"";"Productos con grandes envases.";"Productos de bajo consumo energético.";"Productos necesarios para la vida cotidiana.";"Productos con envases pequeños.";"";"";"es-tecnology-objects-2"
"¿Qué acción se menciona como importante para contribuir al desarrollo sostenible en relación con el transporte?";"";"";"Utilizar el transporte público en lugar del coche privado.";"Comprar coches de alto consumo de energía.";"Dejar los grifos abiertos mientras se conduce.";"Ignorar por completo el transporte público.";"";"";"es-tecnology-objects-2"
